0,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,E,D,D,C,D,C,B,C,C,B,B,D,C,D,D,D,D,C,D,D,B,C,B,B,C
Team-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,E,E,E,E,B,B,B,B,B,B,A,A,A,B,B,B,D,B,B,B,B,B,A,A,A
Team-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,C,C,C,C,C,B,C,B,B,C,B,A,B,B,C,C,C,E,D,C,B,B,C,C,A
Team-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,D,C,C,C,D,D,C,B,B,C,B,B,B,D,D,E,D,D,D,D,D,D,D,D,C
Team-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,C,C,D,D,C,C,B,C,C,C,B,B,C,B,C,C,B,A,B,B,C,B,C,C,B
Team-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,E,E,D,D,D,B,D,C,D,E,C,C,D,D,E,E,D,D,D,C,C,C,B,B,B
Team-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,D,E,E,E,C,B,D,B,B,B,A,A,A,B,C,B,B,B,B,A,B,A,D,A,B
Team-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,B,A,A,A,C,C,C,C,C,C,C,C,C,D,E,C,C,C,D,C,C,C,C,C,C
Team-centred KI level Team-centred Total KI level,No records,No records,No records,No records,No records,E,D,D,D,D,C,C,C,C,C,B,B,C,D,D,D,D,C,D,C,C,C,C,B,B
Team-centred KI level Team-centred Total KI score,.,.,.,.,.,38,42,42,44,54,64,66,64,62.0,62,76,74.0,68.0,58.0,48.0,54.0,54.0,60.0,54.0,60.0,64.0,68.0,66.0,70.0,74.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,,X,X,E,E,E,E,D,C,C,C,C,D,B,B,C,D,D,D,D,C,D,C,C,C,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,.,30.4,33.6,33.6,35.2,54,64,66,64,62.0,58.9,76,74.0,68.0,58.0,45.6,51.3,51.3,60.0,54.0,60.0,64.0,68.0,66.0,70.0,74.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.,.,.,.,.,.,32,165,169,179,169,161,159,141,150,186,172,170,189,201,154,160,180,177,166,140,137,144,95
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.,.,.,.,.,.,1,1,0.92,0.9,0.91,0.98,96%,0.84,0.9,94%,94%,97%,98%,97%,84%,85%,91%,90%,83%,82%,71%,75%,65%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.,.,.,.,.,.,0,0,21,19,20,35,70,75,68,105,90,54,58,69,77,78,75,104,117,65,67,81,79
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,.,.,.,.,.,.,0,0,0.12,0.11,0.12,0.22,44%,0.53,0.45,56%,52%,32%,31%,34%,50%,49%,42%,59%,70%,46%,49%,56%,83%
