0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
Patient-centred Domain levels: 3) Thrombolysis,E,E,E,D,E,D,C,D,E,C,B,D,D,C,D,D,C,D,D,D,Too few to report,D,Too few to report,Too few to report,C,D,C,Too few to report,None entered,None entered
Patient-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,E,E,B,B,B,B,B,A,A,B,A,C,D,Too few to report,B,Too few to report,Too few to report,C,E,D,Too few to report,None entered,None entered
Patient-centred Domain levels: 5) Occupational therapy,E,D,C,C,B,A,B,C,B,A,D,C,C,C,C,C,C,A,C,A,Too few to report,B,C,Too few to report,B,C,C,Too few to report,None entered,None entered
Patient-centred Domain levels: 6) Physiotherapy,D,E,D,B,B,A,B,C,C,D,C,B,D,C,D,B,C,A,B,B,Too few to report,B,B,Too few to report,B,D,C,Too few to report,None entered,None entered
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,C,E,E,D,C,C,B,C,C,C,C,C,B,B,B,Too few to report,C,B,Too few to report,C,D,C,Too few to report,None entered,None entered
Patient-centred Domain levels: 8) MDT working,E,E,C,C,C,D,D,C,C,B,B,B,B,A,B,B,B,C,D,D,Too few to report,D,D,Too few to report,E,E,E,Too few to report,None entered,None entered
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,B,C,A,B,B,D,A,B,A,A,A,B,C,B,C,Too few to report,E,E,Too few to report,A,A,A,Too few to report,None entered,None entered
Patient-centred Domain levels: 10) Discharge processes,E,E,D,D,C,D,D,D,E,D,B,B,B,B,B,B,B,A,A,A,Too few to report,C,E,Too few to report,A,A,A,Too few to report,None entered,None entered
Patient-centred KI level Patient-centred Total KI level,E,E,E,D,D,D,D,D,D,B,C,B,C,B,B,B,C,B,C,C,TFP,D,TFP,TFP,C,D,D,TFP,No records,No records
Patient-centred KI level Patient-centred Total KI score,30,28,38,46,50,52,46,46,46,70,68,72,66,74,70.0,72,68,76.0,66.0,66.0,.,58.0,.,.,68.0,50.0,58.0,.,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,E,D,D,D,D,D,D,C,B,C,B,B,B,C,B,D,C,TFP,D,TFP,TFP,D,D,D,TFP,X,X
Patient-centred SSNAP level Patient-centred SSNAP score,27.1,25.2,34.3,39.3,47.5,49.4,46,43.7,41.5,59.8,68,72,66,74,70.0,72,68,72.2,50.5,62.7,.,44.1,.,.,51.7,42.5,46.8,.,.,.
Team-centred Domain levels: 1) Scanning,D,E,E,D,D,E,D,D,C,A,A,A,A,A,A,A,A,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,E,E,E,E,E,E,E,E,E,C,D,E,D,D,D,E,E,A,A,A,Too few to report,A,A,Too few to report,A,A,A,Too few to report,None entered,None entered
Team-centred Domain levels: 3) Thrombolysis,E,E,E,D,E,D,C,D,E,C,B,D,D,C,D,D,C,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,E,E,E,E,E,E,E,E,E,B,B,B,B,B,A,A,B,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,E,D,C,C,B,A,B,C,A,A,C,C,C,B,C,C,C,B,C,B,Too few to report,B,C,Too few to report,D,D,C,Too few to report,None entered,None entered
Team-centred Domain levels: 6) Physiotherapy,D,E,C,B,A,A,B,C,B,B,B,A,B,B,C,C,B,B,B,A,Too few to report,B,C,Too few to report,B,D,D,Too few to report,None entered,None entered
Team-centred Domain levels: 7) Speech and Language therapy,E,E,C,E,D,C,E,D,C,B,C,B,C,B,C,C,C,C,C,C,Too few to report,E,E,Too few to report,E,E,E,Too few to report,None entered,None entered
Team-centred Domain levels: 8) MDT working,E,E,C,C,C,D,D,C,C,B,B,B,B,B,B,B,B,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,B,C,A,B,B,D,A,A,A,A,A,B,D,C,D,Too few to report,E,E,Too few to report,B,A,B,Too few to report,None entered,None entered
Team-centred Domain levels: 10) Discharge processes,E,E,C,E,C,D,D,D,D,C,B,C,B,B,B,B,B,A,A,A,Too few to report,C,E,Too few to report,A,A,A,Too few to report,None entered,None entered
Team-centred KI level Team-centred Total KI level,E,E,D,D,D,D,D,D,D,B,B,B,B,B,B,B,B,B,B,B,TFP,C,TFP,TFP,B,C,C,TFP,No records,No records
Team-centred KI level Team-centred Total KI score,30,28,46,44,54,52,46,48,54,78,70,72,72,78,72.0,70,70,76.7,76.7,80.0,.,60.0,.,.,70.0,66.7,66.7,.,.,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,D,E,D,D,D,D,D,C,B,B,B,B,B,B,B,B,D,B,TFP,D,TFP,TFP,D,D,D,TFP,X,X
Team-centred SSNAP level Team-centred SSNAP score,27.1,25.2,41.5,37.6,51.3,49.4,46,45.6,48.7,66.7,70,72,72,78,72.0,70,70,72.8,58.7,76.0,.,45.6,.,.,53.2,56.7,53.8,.,.,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,40,147,228,244,245,258,280,310,282,328,370,326,277,224,202,247,183,47,33,33,35,41,49,62,58,40,37,63,60
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,0.98,0.98,0.99,1,0.86,0.8,0.7,0.67,58%,0.45,0.57,50%,29%,50%,70%,80%,76%,89%,100%,100%,100%,100%,100%,95%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,2,7,2,5,15,18,9,103,154,170,121,134,159,167,123,2,1,7,9,8,1,0,0,0,0,2,7
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0.01,0.03,0.01,0.02,0.05,0.06,0.03,0.31,0.42,0.52,0.44,60%,0.79,0.68,67%,4%,3%,21%,26%,20%,2%,0%,0%,0%,0%,3%,12%
