0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2018-04-01,2018-10-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2024-01-01,2024-04-01
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,E,E,E,E,C,C,C,E,C,D,E,E,E,D,E,E,E
Team-centred Domain levels: 9) Standards by discharge,B,C,B,B,A,B,B,A,A,Too few to report,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,B,Too few to report,Too few to report,C,B,A,Too few to report,B
Team-centred Domain levels: 10) Discharge processes,D,E,D,D,D,D,D,C,B,Too few to report,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,A,Too few to report,Too few to report,A,B,B,Too few to report,C
Team-centred KI level Team-centred Total KI level,D,D,C,C,C,C,C,C,B,TFP,B,TFP,TFP,B,TFP,B,C,A,A,TFP,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,56.7,53.3,63.3,60,63.3,63.3,66.7,66.7,80,.,73.3,.,.,80,.,75.0,60.0,85.0,86.7,.,75.0,80.0,73.3,73.3,75.0,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,D,D,D,C,D,B,TFP,C,TFP,TFP,C,TFP,B,D,B,B,TFP,C,B,C,C,C,B
Team-centred SSNAP level Team-centred SSNAP score,33.7,45.3,45.8,51,51.1,57,63.3,56.7,76,.,62.3,.,.,64.6,.,71.3,54.2,72.3,78.0,.,60.6,80.0,62.7,69.7,67.7,72.8
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,21,40,60,48,58,67,51,30,28,23,42,27,31,32,23,21,37,28,25,27,32,42,38,31,25
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,1,1,0.96,98%,0.93,0.97,97%,92%,91%,95%,90%,83%,79%,91%,93%,86%,91%,96%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,1,44,44,55,63,47,27,25,23,41,27,30,31,22,21,37,28,25,25,28,40,37,30,24
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.05,0.03,0.73,0.92,0.95,0.94,0.92,0.9,0.89,1,98%,1,0.97,97%,96%,100%,100%,100%,100%,93%,88%,95%,97%,97%,96%
