0,2013-10-01,2014-04-01,2015-01-01,2016-01-01,2018-10-01,2019-04-01,2019-07-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,Too few to report,A,A,A,A,A,B,A,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,D,D,D,E,Too few to report,D,E,B,C,C,C,C,C,C,C,B,A,C,B,A,B
Team-centred Domain levels: 6) Physiotherapy,C,D,D,E,Too few to report,C,B,C,B,B,A,C,B,C,C,B,A,C,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,D,E,E,E,Too few to report,C,C,D,C,C,D,E,C,E,D,E,D,C,B,C,D
Team-centred Domain levels: 9) Standards by discharge,D,D,B,A,C,B,B,A,A,B,A,A,B,Too few to report,B,B,A,Too few to report,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,C,E,C,D,C,B,D,C,B,B,B,A,Too few to report,C,B,A,Too few to report,A,A,B
Team-centred KI level Team-centred Total KI level,D,D,D,D,Too few to report,C,B,B,B,B,B,B,B,C,C,B,A,B,A,A,B
Team-centred KI level Team-centred Total KI score,56.7,50,50,53.3,.,66.7,70,70.0,76.7,76.7,76.7,70.0,76.7,60.0,66.7,73.3,90.0,70.0,90.0,90.0,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,,D,D,C,C,B,C,C,C,D,C,D,B,D,A,C,C
Team-centred SSNAP level Team-centred SSNAP score,48.2,42.5,40,45.3,.,53.8,59.5,66.5,69.0,72.8,69.2,66.5,65.2,45.6,60.2,59.2,76.5,56.5,85.5,68.8,65.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,34,49,27,16,35,25,22,42,57,57,50,43,50,50,37,36,43,50,44,37
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.93,0.7,92%,0.96,71%,79%,88%,90%,93%,91%,89%,96%,95%,84%,84%,85%,77%,82%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,1,18,5,9,13,14,13,11,8,8,11,8,9,11,9,11,11,11,13
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.02,0.67,0.31,26%,0.52,64%,31%,19%,14%,16%,26%,16%,18%,30%,25%,26%,22%,25%,35%
