0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01
Patient-centred Domain levels: 9) Standards by discharge,Insufficient records,D,D,B,B,B,B,Too few to report,B,B,C,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred Domain levels: 10) Discharge processes,Insufficient records,D,C,D,D,C,C,Too few to report,D,C,C,C,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Patient-centred KI level Patient-centred Total KI level,Insufficient records,D,D,D,D,D,D,TFP,D,D,C,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Patient-centred KI level Patient-centred Total KI score,.,44,48,46,52,54,54,.,46,50,66,.,.,.,.,.,.,.,.,.,.,.,.,.
Patient-centred SSNAP level Patient-centred SSNAP score,.,35.5,34.7,39.1,44.2,46.2,48.6,.,39.3,47.5,53.3,.,.,.,.,.,.,.,.,.,.,.,.,.
Team-centred Domain levels: 2) Stroke unit,Insufficient records,B,A,A,A,A,B,Too few to report,C,A,A,A,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 5) Occupational therapy,Insufficient records,D,C,C,C,C,C,Too few to report,C,C,D,D,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 6) Physiotherapy,Insufficient records,D,C,C,B,C,A,Too few to report,D,C,C,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 7) Speech and Language therapy,Insufficient records,E,D,C,B,C,B,Too few to report,E,D,E,E,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 9) Standards by discharge,Insufficient records,E,E,C,B,B,B,Too few to report,B,B,A,B,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 10) Discharge processes,Insufficient records,D,C,D,D,C,C,Too few to report,D,C,C,C,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred KI level Team-centred Total KI level,Insufficient records,D,D,C,B,B,B,TFP,D,C,C,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Team-centred KI level Team-centred Total KI score,.,40,56.7,63.3,73.3,70,76.7,.,50,66.7,63.3,.,.,.,.,.,.,.,.,.,.,.,.,.
Team-centred SSNAP level Team-centred SSNAP score,.,32.3,40.9,53.8,62.3,59.8,69,.,42.8,63.3,51.1,.,.,.,.,.,.,.,.,.,.,.,.,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,E,E,E,D,D,D,TFP,E,D,D,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,E,D,D,C,D,C,TFP,D,C,D,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP,TFP
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,1,10,23,16,21,25,27,14,10,26,26,28,21,9,21,17,15,11,12,4,7,10,7
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.77,0.55,0.55,0.53,0.54,0.33,0.24,0.68,0.74,0.82,0.78,64%,0.88,0.89,100%,100%,100%,100%,100%,100%,100%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,1,8,21,16,21,24,25,14,7,26,26,27,19,9,14,9,5,1,6,0,0,1,2
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,1,0.8,0.91,1,1,0.96,0.93,1,0.7,1,1,0.96,0.9,100%,0.67,0.53,33%,9%,50%,0%,0%,10%,29%
