0,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team-centred Domain levels: 2) Stroke unit,C,C,D,E,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,C,C,D,C,B,C,B,D,D,D,D,D,D,D,D,C,C,D,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,A,A,A,A,A,A,B,C,C,C,B,C,B,A,B,B,B,C,B,B,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,C,C,C,D,E,E,E,E,C,B,C,B,C,C
Team-centred Domain levels: 6) Physiotherapy,A,A,A,B,B,B,C,D,D,D,C,E,E,D,D,D,D,D,C,C,C
Team-centred Domain levels: 7) Speech and Language therapy,D,D,D,E,E,E,E,D,C,C,D,E,E,E,D,C,D,D,D,E,E
Team-centred Domain levels: 8) MDT working,B,C,B,C,C,D,D,D,E,E,E,E,E,E,D,E,D,D,D,E,E
Team-centred Domain levels: 9) Standards by discharge,B,B,B,A,A,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,B,B,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,B,B,B,B,C,C,D,D,D,D,D,D,D,D,C,C,D,C,C,C
Team-centred KI level Team-centred Total KI score,78,76,72,70,76.0,68,66,56.0,54.0,58.0,58.0,46.0,50.0,54.0,56.0,60.0,66.0,58.0,66.0,60.0,64.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,B,B,B,C,C,D,D,D,D,D,D,D,D,C,C,D,C,C,C
Team-centred SSNAP level Team-centred SSNAP score,78,76,72,70,76.0,68,66,56.0,54.0,58.0,58.0,46.0,50.0,54.0,56.0,60.0,66.0,58.0,66.0,60.0,64.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),279,297,274,274,277,302,288,307,284,273,267,286,253,268,288,286,281,282,289,285,292
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,98%,0.93,0.91,93%,93%,90%,87%,91%,92%,91%,91%,91%,91%,89%,87%,90%,93%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,2,10,18,15,54,66,87,72,65,62,105,56,65,82,82,86,88,110,96,89
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0.01,0.04,0.07,5%,0.18,0.23,28%,25%,24%,23%,37%,22%,24%,28%,29%,31%,31%,38%,34%,30%
