0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01
Patient-centred Domain levels: 8) MDT working,D,E,E,D,D,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 9) Standards by discharge,E,E,E,D,C,B,B,B,B,B,C,B,B,B,B,B,B,C,B,C,C,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,D,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,E,D,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,42,42,34,48,64,70,76,88,84,90,92,94,90,90,90.0,90,92,82.0,82.0,82.0,76.0,86.0,86.0,88.0,90.0,90.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,E,E,D,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,35.7,35.7,28.9,40.8,57.6,66.5,72.2,88,84,90,92,94,90,90,90.0,90,92,82.0,82.0,82.0,76.0,86.0,86.0,88.0,90.0,90.0
Team-centred Domain levels: 1) Scanning,C,C,C,C,B,B,C,B,A,A,A,A,B,B,B,B,A,B,B,B,B,B,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,D,E,B,B,B,B,B,B,B,B,C,C,B,B,C,C,C,C,C,C,C,C,C,C,B
Team-centred Domain levels: 3) Thrombolysis,C,D,D,C,B,B,B,A,B,B,A,A,B,B,B,B,B,C,C,B,C,B,B,C,B,B
Team-centred Domain levels: 4) Specialist Assessments,D,D,D,C,B,B,B,A,A,A,A,A,A,A,A,A,A,B,B,B,B,B,B,A,A,A
Team-centred Domain levels: 5) Occupational therapy,E,E,E,E,C,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,C,D,E,E,D,C,C,B,B,C,B,B,B,B,B,B,B,B,B,B,C,B,B,B,B,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,D,B,C,C,A,A,A,A,B,B,A,A,B,B,B,B,B,A,B,B
Team-centred Domain levels: 8) MDT working,D,E,E,D,D,D,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 9) Standards by discharge,E,E,E,C,C,B,B,B,B,B,C,B,B,B,A,B,B,B,B,C,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,D,B,B,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,E,E,D,C,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,42,38,34,48,64,70,74,88,88,86,92,92,88,90,90.0,86,90,84.0,82.0,82.0,80.0,84.0,86.0,88.0,88.0,88.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,E,E,D,D,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,35.7,32.3,28.9,40.8,57.6,66.5,70.3,88,88,86,92,92,88,90,90.0,86,90,84.0,82.0,82.0,80.0,84.0,86.0,88.0,88.0,88.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,247,255,214,222,235,233,231,252,266,305,338,350,340,371,329,324,328,322,357,329,342,398,378,356,353
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.97,0.98,0.93,0.94,0.9,0.89,0.86,0.85,0.81,0.78,0.83,0.77,0.75,78%,0.78,0.8,83%,85%,90%,84%,81%,86%,87%,82%,80%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,120,134,114,110,160,162,178,188,201,186,192,233,240,235,196,194,183,204,224,172,151,156,164,197,230
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.49,0.53,0.53,0.5,0.68,0.7,0.77,0.75,0.76,0.61,0.57,0.67,0.71,63%,0.6,0.6,56%,63%,63%,52%,44%,39%,43%,55%,65%
