0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,C,E,E,D,D,C,B,A,A,A,B,B,A,B,B,B,B
Patient-centred Domain levels: 8) MDT working,E,E,E,D,D,E,D,D,C,D,B,B,B,B,B,B,B,C,B,B,C
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,C,D,C,B,B,A,A,B,B,B,B,B,B,A,B,A,A,B
Patient-centred Domain levels: 10) Discharge processes,D,D,D,D,C,B,A,B,B,C,A,B,B,A,A,A,A,A,A,B,A
Patient-centred KI level Patient-centred Total KI level,D,D,C,D,D,D,C,C,B,C,A,A,A,A,A,A,A,B,A,B,B
Patient-centred KI level Patient-centred Total KI score,56,52,60,58,56,42,60,68,78,68,82,82,86,86,86.0,86,96,78.0,84.0,78.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,E,E,D,C,B,C,A,A,A,A,A,A,A,B,A,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,50.4,46.8,51,46.8,33.3,33.9,57,68,78,68,82,82,86,86,86.0,86,96,78.0,84.0,78.0,80.0
Team-centred Domain levels: 1) Scanning,B,C,B,C,A,C,B,B,A,B,B,C,A,C,B,B,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,E,D,D,C,E,C,C,D,D,C,C,B,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,B,B,B,A,B,D,B,A,B,C,D,B,B,B,B,B,A,D,C,D,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,A,B,B,E,D,C,B,B,B,B,A,A,A,A,A,A,A,B,A
Team-centred Domain levels: 5) Occupational therapy,C,D,C,D,E,C,C,B,B,A,A,A,A,A,A,A,A,A,A,C,C
Team-centred Domain levels: 6) Physiotherapy,D,D,C,D,D,D,C,B,A,B,A,A,A,A,A,A,A,A,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,C,E,D,D,C,C,A,A,A,A,B,B,A,C,C,B,C
Team-centred Domain levels: 8) MDT working,D,D,D,D,D,D,D,D,C,D,B,B,B,B,B,B,B,C,B,B,C
Team-centred Domain levels: 9) Standards by discharge,B,B,B,C,D,C,B,A,A,A,B,B,B,B,B,B,A,A,A,A,B
Team-centred Domain levels: 10) Discharge processes,D,D,D,D,B,B,A,B,A,B,B,B,B,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,C,D,C,D,C,B,A,B,B,A,A,A,A,A,A,B,A,B,B
Team-centred KI level Team-centred Total KI score,58,54,62,58,60,44,62,70,82,70,80,82,86,84,86.0,86,96,78.0,82.0,76.0,74.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,E,E,D,B,A,B,B,A,A,A,A,A,A,B,A,B,B
Team-centred SSNAP level Team-centred SSNAP score,52.2,48.6,52.7,46.8,35.7,35.5,58.9,70,82,70,80,82,86,84,86.0,86,96,78.0,82.0,76.0,74.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,236,233,256,276,263,239,217,160,181,130,155,174,196,180,185,180,199,284,280,267
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,0.94,0.91,0.94,0.65,0.72,0.82,0.93,92%,0.86,0.9,99%,99%,93%,89%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,0,0,6,71,78,84,71,71,63,71,64,83,49,8,5,14,18
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0,0,0.03,0.33,0.49,0.46,0.55,0.46,0.36,0.36,36%,0.45,0.27,4%,2%,5%,7%
