0,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Patient-centred Domain levels: 4) Specialist Assessments,C,C,C,C,C,B,C,B,B,B,B,B,B,B,B,C,B,B,B,B
Patient-centred Domain levels: 5) Occupational therapy,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,B,B,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,B,B,A,B,B,B,A,B,A,A,A,A,A,B,C,C
Patient-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,A,B,A,A,A,A,A,A,B,A,A,B,A,B,B,A,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,C,C,C,C,B,B,B,B,C,B,B,C,D,C,C,B,C,C
Patient-centred KI level Patient-centred Total KI level,B,A,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,78,82,76,80.0,78,82,76.0,80.0,78.0,76.0,80.0,80.0,78.0,78.0,78.0,72.0,78.0,76.0,72.0,70.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,A,B,B,B,A,B,B,B,C,B,B,B,B,C,B,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,78,82,76,80.0,78,82,76.0,80.0,78.0,68.6,80.0,76.0,78.0,78.0,66.7,72.0,78.0,76.0,72.0,70.0
Team-centred Domain levels: 1) Scanning,B,A,A,B,B,B,C,A,B,A,A,A,A,B,A,B,A,B,B,B
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,E,E,E,E,E,E,E,E,D,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,B,B,B,B,B,B,C,C,C,C,C,C,C,D,C,C,C,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,B,C,C,C,C,B,C,B,B,B,B,B,B,B,B,C,B,B,B,B
Team-centred Domain levels: 5) Occupational therapy,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,B,A,A,A,A,A,A,B,A,B,B,A,A,B,A,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,B,B,B,B,B,A,A,A,B,B,A,B,A,B,A,A,A,B,C,C
Team-centred Domain levels: 8) MDT working,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,A,A,A,A,B,A,A,A,A,B,A,A,B,A,A,B,A,B,A,B
Team-centred Domain levels: 10) Discharge processes,C,C,B,C,B,C,B,B,B,B,C,B,B,B,D,C,C,C,D,D
Team-centred KI level Team-centred Total KI level,A,A,B,B,B,A,B,A,B,B,B,B,B,B,B,B,B,B,B,C
Team-centred KI level Team-centred Total KI score,82,82,80,80.0,80,84,76.0,82.0,78.0,76.0,80.0,78.0,78.0,76.0,80.0,72.0,80.0,74.0,72.0,68.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,A,B,B,B,A,B,A,B,C,B,B,B,B,C,B,B,B,B,C
Team-centred SSNAP level Team-centred SSNAP score,82,82,80,80.0,80,84,76.0,82.0,78.0,68.6,80.0,74.1,78.0,76.0,68.4,72.0,80.0,74.0,72.0,68.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),304,301,284,287,315,287,266,272,281,335,300,268,276,281,292,308,307,304,300,264
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.99,0.99,0.99,100%,0.99,0.99,96%,98%,97%,97%,98%,99%,97%,98%,99%,99%,99%,99%,99%,92%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),5,5,2,2,31,36,31,35,21,29,20,19,25,39,32,26,24,28,32,38
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.02,0.02,0.01,1%,0.1,0.13,12%,13%,7%,9%,7%,7%,9%,14%,11%,8%,8%,9%,11%,14%
