0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,Insufficient records,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,Insufficient records,A,A,A,B,A,A,C,A,A,C,E,A,A,A,B
Team-centred Domain levels: 6) Physiotherapy,A,B,A,A,A,Insufficient records,A,A,A,A,A,A,A,A,B,C,E,A,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,B,A,A,A,A,Insufficient records,A,B,A,A,A,A,B,A,A,B,E,A,A,A,C
Team-centred Domain levels: 9) Standards by discharge,C,C,B,B,D,Insufficient records,C,B,D,E,A,A,C,B,A,A,B,A,A,B,B
Team-centred Domain levels: 10) Discharge processes,B,D,C,C,B,Insufficient records,D,A,B,A,A,B,B,B,B,A,B,A,B,A,B
Team-centred KI level Team-centred Total KI level,A,B,A,TFP,A,TFP,A,A,A,A,A,A,B,A,A,A,D,A,A,A,TFP
Team-centred KI level Team-centred Total KI score,86.7,80,90,.,86.7,.,83.3,93.3,86.7,83.3,100,96.7,76.7,93.3,93.3,83.3,53.3,100.0,96.7,96.7,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,B,TFP,C,TFP,B,B,C,D,A,D,C,A,A,B,D,A,A,A,TFP
Team-centred SSNAP level Team-centred SSNAP score,65.9,64,72,.,69.3,.,70.8,79.3,69.3,56.7,85,57.5,69,93.3,88.7,79.2,53.3,95.0,87.2,96.7,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,58,57,45,50,50,40,49,53,46,61,68,77,71,81,77,68,63,59,58,60
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.92,0.85,0.89,1,1,1,0.92,1,1,0.99,0.97,100%,0.97,0.94,91%,95%,97%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,10,6,7,12,4,0,0,0,3,10,18,25,24,28,31,29,28,29,29,27
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.17,0.11,0.16,0.24,0.08,0,0,0,0.07,0.16,0.26,0.32,0.34,35%,0.4,0.43,44%,49%,50%,45%
