0,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Patient-centred Domain levels: 5) Occupational therapy,B,C,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,C,E,C,B,A,B,B,B,B,C,C,B,B,B,C,C,B,C,C,C,A,C,C,C
Patient-centred Domain levels: 8) MDT working,B,C,A,B,B,A,A,A,A,B,A,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,A,B,A,A,A,A,A,A,A,A,B,B,B,A,B,B,B,B,B,B,B,A,B,B
Patient-centred Domain levels: 10) Discharge processes,B,B,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,80,74,86,78,82,90,94,90,90,88.0,88,84,84.0,88.0,88.0,90.0,82.0,76.0,84.0,80.0,84.0,84.0,88.0,84.0,86.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,B,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,76,70.3,81.7,74.1,82,90,94,90,90,88.0,88,84,84.0,88.0,88.0,85.5,74.0,72.2,79.8,76.0,84.0,84.0,83.6,79.8,81.7,86.0
Team-centred Domain levels: 1) Scanning,A,A,A,B,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,C,C,C,C,C,D,D,C,C,C,C,E,E,E,E,D,D,D,E,D,D
Team-centred Domain levels: 3) Thrombolysis,A,B,B,B,B,B,B,C,D,C,C,C,C,B,B,B,B,C,B,C,B,B,B,B,A,B
Team-centred Domain levels: 4) Specialist Assessments,A,A,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,B,C,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,C,E,C,B,A,A,A,B,C,B,B,B,B,B,B,C,B,B,C,C,A,B,C,B
Team-centred Domain levels: 8) MDT working,B,C,A,B,B,B,A,B,A,B,B,B,A,B,B,B,B,B,B,B,A,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,A,B,A,A,A,A,A,A,A,A,B,B,A,A,A,B,B,A,B,B,B,A,B,A
Team-centred Domain levels: 10) Discharge processes,B,B,B,A,B,A,A,A,A,A,A,A,A,A,A,C,D,A,A,A,A,A,A,C,C,A
Team-centred KI level Team-centred Total KI level,B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,80,74,86,78,84,90,94,90,88,88.0,84,86,88.0,88.0,88.0,86.0,80.0,78.0,84.0,84.0,86.0,84.0,88.0,82.0,82.0,88.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,A,A,A,B,B,A
Team-centred SSNAP level Team-centred SSNAP score,76,70.3,81.7,74.1,84,90,94,90,88,88.0,84,86,88.0,88.0,88.0,81.7,72.2,74.1,79.8,79.8,86.0,84.0,83.6,77.9,77.9,88.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),185,210,222,215,183,319,321,301,316,309,316,310,239,238,262,302,308,265,251,199,194,280,303,307,346,311
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,0.99,1,0.99,0.98,0.96,96%,0.99,1,94%,92%,91%,96%,97%,89%,87%,91%,90%,89%,91%,88%,90%,86%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,1,1,0,24,59,46,62,63,43,41,57,53,56,65,54,25,17,9,11,26,22,25,19,23
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0,0,0,0.08,0.18,0.15,0.2,20%,0.14,0.13,24%,22%,21%,22%,18%,9%,7%,5%,6%,9%,7%,8%,5%,7%
