0,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Patient-centred Domain levels: 10) Discharge processes,A,A,A,A,A,B,A,D,E,D,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,C,C,C,B,C,B,B,D,D,C,B,B,A,B,B,A,B,B,A,A
Patient-centred KI level Patient-centred Total KI score,62,62,64,60,78.0,60,74,74.0,56.0,56.0,62.0,74.0,70.0,88.0,80.0,76.0,84.0,76.0,74.0,88.0,82.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,C,C,C,B,C,B,B,D,D,C,B,C,A,B,B,A,B,B,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,62,62,60.8,60,78.0,60,74,70.3,56.0,53.2,62.0,74.0,66.5,88.0,80.0,76.0,84.0,76.0,74.0,88.0,82.0
Team-centred Domain levels: 2) Stroke unit,D,D,D,D,C,D,C,C,E,E,D,D,C,B,B,B,B,C,C,B,C
Team-centred Domain levels: 5) Occupational therapy,A,B,A,C,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,B,B,B,C,B,B,A,A,B,A,B,B,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,E,E,E,E,E,D,C,D,E,C,C,D,E,D,C,E,D
Team-centred Domain levels: 9) Standards by discharge,D,B,A,A,A,B,B,B,B,B,B,A,B,A,A,A,A,A,A,B,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,B,A,D,E,D,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,C,C,B,C,B,C,B,C,D,C,B,B,B,A,A,A,A,A,A,B,A
Team-centred KI level Team-centred Total KI score,63.3,66.7,73.3,63.3,76.7,66.7,76.7,66.7,53.3,63.3,76.7,76.7,76.7,90.0,90.0,86.7,83.3,83.3,86.7,80.0,83.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,C,C,C,B,C,B,C,D,C,B,B,B,A,A,A,A,A,A,B,A
Team-centred SSNAP level Team-centred SSNAP score,63.3,66.7,69.7,63.3,76.7,66.7,76.7,63.3,53.3,60.2,76.7,76.7,72.8,90.0,90.0,86.7,83.3,83.3,86.7,80.0,83.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),110,104,85,84,78,78,94,80,68,55,56,54,57,71,80,77,80,74,67,77,81
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.99,1,0.98,0.98,99%,0.98,0.98,82%,71%,62%,66%,74%,76%,76%,85%,88%,87%,82%,79%,75%,70%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2,3,0,2,4,5,9,35,30,27,31,22,25,24,24,17,17,20,29,37,48
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.02,0.03,0,0.02,5%,0.06,0.1,44%,44%,49%,55%,41%,44%,34%,30%,22%,21%,27%,43%,48%,59%
