0,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Patient-centred Domain levels: 8) MDT working,B,C,Too few to report,E,C,B,C,D,D,C,D,C,C,C,C,C,C,D,B,B,C,C,C
Patient-centred Domain levels: 9) Standards by discharge,A,A,Too few to report,B,C,C,C,C,C,A,B,B,B,B,C,B,C,B,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,C,C,Too few to report,E,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,D,TFP,TFP,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI score,64,56,.,.,80,80,78.0,80,76,92.0,88.0,90.0,88.0,86.0,84.0,86.0,82.0,80.0,88.0,88.0,84.0,82.0,86.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,D,TFP,TFP,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Patient-centred SSNAP level Patient-centred SSNAP score,64,53.2,.,.,80,80,78.0,80,76,92.0,88.0,90.0,88.0,86.0,84.0,86.0,82.0,80.0,88.0,88.0,84.0,82.0,86.0
Team-centred Domain levels: 1) Scanning,D,C,Too few to report,Too few to report,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 2) Stroke unit,C,C,Too few to report,D,C,C,C,C,D,B,B,B,C,D,C,D,C,D,C,D,D,D,C
Team-centred Domain levels: 3) Thrombolysis,E,E,Too few to report,Too few to report,B,B,B,B,C,A,A,A,A,A,A,B,A,B,A,A,A,A,A
Team-centred Domain levels: 4) Specialist Assessments,B,D,Too few to report,Too few to report,B,B,B,C,B,A,A,A,A,A,B,A,B,B,B,A,A,B,B
Team-centred Domain levels: 5) Occupational therapy,B,C,Too few to report,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,C,C,Too few to report,E,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,D,E,Too few to report,C,B,C,C,C,C,C,B,B,B,B,B,B,C,D,C,C,C,C,C
Team-centred Domain levels: 8) MDT working,B,C,Too few to report,Too few to report,B,B,B,C,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,A,A,Too few to report,B,C,C,C,C,C,A,B,B,C,B,B,B,C,B,B,B,B,B,B
Team-centred Domain levels: 10) Discharge processes,C,C,Too few to report,E,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A
Team-centred KI level Team-centred Total KI level,C,D,TFP,TFP,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,62,54,.,.,82,80,80.0,76,78,92.0,92.0,92.0,88.0,88.0,88.0,86.0,82.0,78.0,86.0,86.0,82.0,84.0,84.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,D,TFP,TFP,A,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,62,51.3,.,.,82,80,80.0,76,78,92.0,92.0,92.0,88.0,88.0,88.0,86.0,82.0,78.0,86.0,86.0,82.0,84.0,84.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),53,45,30,28,240,258,280,282,290,300,305,328,356,341,353,386,373,367,376,367,339,327,335
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,0.98,1,1,1,1,100%,1,1,99%,99%,99%,99%,99%,98%,98%,99%,99%,98%,96%,93%,89%,86%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),4,5,0,0,5,4,9,4,13,9,16,13,10,13,12,21,21,20,32,55,73,72,79
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.08,0.11,0,0,0.02,0.02,3%,0.01,0.04,3%,5%,4%,3%,4%,3%,5%,6%,5%,9%,15%,22%,22%,24%
