0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-10-01,2019-01-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-10-01,2024-04-01,2024-07-01
Team-centred Domain levels: 2) Stroke unit,C,D,E,D,E,E,D,C,E,E,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 3) Thrombolysis,E,E,E,D,E,D,D,C,C,D,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,B,D,D,C,D,D,C,B,C,C,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,D,C,D,B,C,D,D,C,C,C,E,A,B,C,D,A,B,B,A,A,A,A,A,B,C
Team-centred Domain levels: 6) Physiotherapy,D,D,D,A,B,B,B,A,C,C,E,A,B,B,D,B,B,B,B,A,B,B,A,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,C,B,B,C,B,B,C,E,C,C,B,B,E,E,E,E,E,E,E,E,E,D
Team-centred Domain levels: 8) MDT working,C,C,D,D,D,D,B,B,C,B,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,D,D,D,D,B,A,A,A,A,B,A,E,B,B,B,A,B,C,A,A,A,A,B,A,A
Team-centred Domain levels: 10) Discharge processes,B,C,B,C,C,B,B,B,B,B,C,C,C,C,D,D,D,C,C,C,C,C,C,C,C
Team-centred KI level Team-centred Total KI level,D,D,E,D,D,C,C,B,C,C,TFP,B,B,B,C,B,C,C,B,B,B,B,B,B,B
Team-centred KI level Team-centred Total KI score,50,44,38,58,54,60,64,80,68,64,.,73.3,76.7,76.7,63.3,73.3,66.7,66.7,76.7,80.0,76.7,76.7,76.7,73.3,73.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,E,E,D,D,C,C,B,C,C,TFP,C,C,B,D,B,D,C,B,B,B,B,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,42.8,39.6,30.7,49.3,54,60,60.8,80,64.6,64,.,66,65.2,76.7,53.8,73.3,56.7,66.7,76.7,80.0,72.8,72.8,72.8,73.3,73.3
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,155,138,123,142,141,125,149,145,118,129,19,37,31,22,10,25,25,21,31,25,22,18,23,29
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.99,0.99,0.99,1,0.97,0.9,0.96,0.99,0.92,0.97,1,0.95,0.72,0.73,71%,93%,81%,88%,89%,76%,79%,67%,79%,83%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,48,51,44,42,43,72,71,40,37,55,3,10,27,19,10,25,23,21,31,25,21,18,16,22
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.31,0.37,0.36,0.3,0.3,0.58,0.48,0.28,0.31,0.43,0.16,0.27,0.87,0.86,100%,100%,92%,100%,100%,100%,95%,100%,70%,76%
