0,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Patient-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,D,Too few to report,Too few to report,None entered,None entered,None entered,A,C,C,C,C,B,B,B,A,B,C,E,C,C,C
Patient-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,E,Too few to report,Too few to report,None entered,None entered,None entered,D,D,D,E,E,E,D,D,D,D,E,E,E,E,E
Patient-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,A,Too few to report,Too few to report,None entered,None entered,None entered,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,B,Too few to report,Too few to report,None entered,None entered,None entered,B,D,C,B,C,B,B,A,B,B,B,C,C,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,B,Too few to report,Too few to report,None entered,None entered,None entered,C,B,B,B,C,C,C,C,B,C,B,B,B,B,C
Patient-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,C,Too few to report,Too few to report,None entered,None entered,None entered,C,D,D,D,E,E,D,C,D,D,D,E,E,E,E
Patient-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,B,Too few to report,Too few to report,None entered,None entered,None entered,A,A,A,A,A,A,A,B,B,B,C,C,B,B,B
Patient-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,A,Too few to report,Too few to report,None entered,None entered,None entered,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,No records,No records,No records,No records,No records,No records,No records,No records,No records,C,Insufficient records,Insufficient records,No records,No records,No records,B,C,C,C,C,C,B,B,B,B,C,D,C,C,C
Patient-centred KI level Patient-centred Total KI score,.,.,.,.,.,.,.,.,.,62,.,.,.,.,.,72,64.0,66.0,68.0,60.0,66.0,70.0,74.0,74.0,70.0,64.0,54.0,62.0,66.0,64.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,,X,X,X,X,X,X,C,X,X,X,X,X,B,C,C,C,C,C,B,B,B,B,C,D,C,C,C
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,.,.,.,.,.,.,62,.,.,.,.,.,72,64.0,66.0,68.0,60.0,66.0,70.0,74.0,74.0,70.0,64.0,54.0,62.0,66.0,64.0
Team-centred Domain levels: 1) Scanning,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,D,Too few to report,Too few to report,None entered,None entered,None entered,C,B,B,B,C,B,A,A,A,A,C,C,B,A,A
Team-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,E,Too few to report,Too few to report,None entered,None entered,None entered,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,D,Too few to report,Too few to report,None entered,None entered,None entered,A,C,C,C,C,B,C,B,B,B,C,D,C,C,C
Team-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,E,Too few to report,Too few to report,None entered,None entered,None entered,D,D,D,E,E,E,D,D,D,D,E,E,E,E,E
Team-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,A,Too few to report,Too few to report,None entered,None entered,None entered,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,B,Too few to report,Too few to report,None entered,None entered,None entered,B,D,C,C,D,B,B,B,B,B,B,C,D,B,B
Team-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,B,Too few to report,Too few to report,None entered,None entered,None entered,C,C,B,B,C,C,C,C,C,C,C,C,C,C,C
Team-centred Domain levels: 8) MDT working,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,C,Too few to report,Too few to report,None entered,None entered,None entered,C,D,D,D,E,E,D,C,D,D,E,E,E,E,E
Team-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,B,Too few to report,Too few to report,None entered,None entered,None entered,A,A,A,A,A,A,A,B,B,B,C,C,B,B,B
Team-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,None entered,A,Too few to report,Too few to report,None entered,None entered,None entered,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,No records,No records,No records,No records,No records,No records,No records,No records,No records,C,Insufficient records,Insufficient records,No records,No records,No records,B,C,C,C,D,C,B,B,B,B,D,D,D,C,C
Team-centred KI level Team-centred Total KI score,.,.,.,.,.,.,.,.,.,62,.,.,.,.,.,72,62.0,66.0,66.0,58.0,66.0,70.0,72.0,70.0,70.0,58.0,54.0,58.0,64.0,64.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,,X,X,X,X,X,X,C,X,X,X,X,X,B,C,C,C,D,C,B,B,B,B,D,D,D,C,C
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,.,.,.,.,.,62,.,.,.,.,.,72,62.0,66.0,66.0,58.0,66.0,70.0,72.0,70.0,70.0,58.0,54.0,58.0,64.0,64.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.,.,.,.,.,.,.,.,199,8,12,10,5,6,174,183,160,163,190,199,207,199,200,186,203,217,192,211,199
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.,.,.,.,.,.,.,.,0.93,1,1,1,100%,1,0.92,92%,88%,90%,93%,88%,90%,96%,95%,88%,86%,89%,88%,89%,85%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.,.,.,.,.,.,.,.,139,2,2,1,1,1,110,95,76,70,80,89,98,80,88,92,79,92,93,138,151
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,.,.,.,.,.,.,.,.,0.7,0.25,0.17,0.1,20%,0.17,0.63,52%,48%,43%,42%,45%,47%,40%,44%,49%,39%,42%,48%,65%,76%
