0,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Team-centred Domain levels: 3) Thrombolysis,B,C,B,B,B,B,C,C,B,B,C,B,B,B,B,B,C,B
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,A,B,B,B,B,B,B,B,B,B,A,A,B,A
Team-centred Domain levels: 5) Occupational therapy,A,C,A,A,C,A,A,B,A,A,A,B,B,B,B,C,E,C
Team-centred Domain levels: 6) Physiotherapy,B,B,A,B,B,B,A,B,B,A,B,B,B,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,D,C,A
Team-centred Domain levels: 8) MDT working,C,C,C,C,C,C,C,C,C,C,C,C,D,D,C,D,D,C
Team-centred Domain levels: 9) Standards by discharge,B,B,A,A,B,B,A,A,B,B,C,B,D,C,B,A,B,B
Team-centred Domain levels: 10) Discharge processes,A,B,A,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,B,C,A,B,B,B,B,B,B,B,B,B,B,B,B,B,C,A
Team-centred KI level Team-centred Total KI score,78,68.0,84,76,76.0,78.0,80.0,74.0,76.0,80.0,74.0,78.0,70.0,74.0,80.0,78.0,68.0,82.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,C,A
Team-centred SSNAP level Team-centred SSNAP score,74.1,64.6,79.8,72.2,76.0,74.1,80.0,74.0,72.2,76.0,74.0,78.0,70.0,70.3,80.0,78.0,68.0,82.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),294,290,272,277,321,324,279,227,239,248,245,278,302,296,281,299,358,448
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.95,95%,0.92,0.92,95%,96%,92%,88%,91%,93%,92%,94%,94%,93%,93%,93%,96%,99%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),79,81,85,86,83,94,159,164,177,176,184,221,215,202,186,172,47,4
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.27,28%,0.31,0.31,26%,29%,57%,72%,74%,71%,75%,79%,71%,68%,66%,58%,13%,1%
