0,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Patient-centred Domain levels: 4) Specialist Assessments,C,D,D,C,C,D,C,C,D,E,E,E,E,E,E,E,E,E,E,E,E,D,E
Patient-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,B,A,B,B,C,A,B,B,A,B,C,B
Patient-centred Domain levels: 6) Physiotherapy,B,B,A,A,A,B,A,A,A,A,A,B,B,B,C,C,C,C,C,C,D,D,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,C,C,C,D,D,C,C,C,C,D,D,D,D,E,E,E,E,E,D,D,E,E
Patient-centred Domain levels: 8) MDT working,C,C,B,B,C,B,B,B,B,C,D,D,D,E,D,E,D,D,D,E,E,D,D
Patient-centred Domain levels: 9) Standards by discharge,B,C,B,B,B,B,B,B,B,A,A,A,A,A,A,B,B,B,B,B,A,D,C
Patient-centred Domain levels: 10) Discharge processes,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B
Patient-centred KI level Patient-centred Total KI level,C,D,B,B,B,C,B,B,B,C,C,C,C,D,D,D,D,D,D,D,D,D,D
Patient-centred KI level Patient-centred Total KI score,68,58,72,78,76,68,80.0,80,74,68.0,62.0,60.0,60.0,56.0,54.0,50.0,56.0,56.0,50.0,56.0,56.0,48.0,56.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",C,D,B,B,B,C,B,B,B,C,C,C,D,D,D,D,D,D,D,D,D,D,D
Patient-centred SSNAP level Patient-centred SSNAP score,68,52.3,72,78,76,68,80.0,80,74,68.0,62.0,60.0,57.0,56.0,51.3,50.0,56.0,56.0,50.0,56.0,56.0,43.3,53.2
Team-centred Domain levels: 1) Scanning,D,D,B,B,A,B,A,A,B,B,B,B,B,B,C,B,B,A,B,B,A,A,A
Team-centred Domain levels: 2) Stroke unit,D,E,D,C,C,D,C,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 3) Thrombolysis,C,D,D,C,C,D,C,C,C,D,E,D,E,E,D,D,D,D,E,D,D,D,C
Team-centred Domain levels: 4) Specialist Assessments,C,D,D,C,D,D,C,C,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,B,B,C,A,C,A,C,A,B,C,B,C,C,C
Team-centred Domain levels: 6) Physiotherapy,B,C,A,A,B,C,B,A,A,C,B,B,C,C,C,D,D,D,D,D,E,E,D
Team-centred Domain levels: 7) Speech and Language therapy,C,D,E,D,E,E,D,C,C,D,E,D,E,D,D,E,E,E,E,E,E,E,E
Team-centred Domain levels: 8) MDT working,C,C,B,B,C,B,B,B,B,C,D,D,D,D,D,D,D,C,D,D,E,D,D
Team-centred Domain levels: 9) Standards by discharge,A,C,B,B,B,B,B,A,B,A,A,A,A,A,A,B,A,A,B,B,A,C,C
Team-centred Domain levels: 10) Discharge processes,B,C,A,A,A,A,A,A,A,A,A,B,B,B,D,B,B,B,B,B,A,C,C
Team-centred KI level Team-centred Total KI level,C,D,C,B,B,C,B,B,B,C,D,D,D,D,D,D,D,D,D,D,D,D,D
Team-centred KI level Team-centred Total KI score,68,52,68,76,70,64,76.0,80,74,60.0,56.0,56.0,54.0,52.0,52.0,48.0,54.0,56.0,46.0,50.0,50.0,44.0,48.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",C,D,C,B,B,C,B,B,B,C,D,D,D,D,D,D,D,D,D,D,D,E,D
Team-centred SSNAP level Team-centred SSNAP score,68,46.9,68,76,70,64,76.0,80,74,60.0,56.0,56.0,51.3,52.0,49.4,48.0,54.0,56.0,46.0,50.0,50.0,39.7,45.6
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),242,232,277,250,253,276,271,246,263,241,271,235,257,265,225,225,238,245,252,295,328,337,325
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,1,1,1,100%,1,1,100%,100%,100%,100%,99%,99%,100%,100%,100%,100%,100%,100%,99%,99%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),1,3,2,1,3,0,2,2,2,44,0,1,0,0,1,2,1,2,0,0,2,2,2
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0.01,0.01,0,0.01,0,1%,0.01,0.01,18%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,1%,1%,1%
