SSNAP Scoring Summary:,London SCN,London SCN.1,London SCN.2,London SCN.3,London SCN.4,London SCN.5,London SCN.6,London SCN.7,East Midlands SCN,East Midlands SCN.1,East Midlands SCN.2,East Midlands SCN.3,East Midlands SCN.4,East Midlands SCN.5,East Midlands SCN.6,East Midlands SCN.7,East of England SCN,East of England SCN.1,East of England SCN.2,East of England SCN.3,East of England SCN.4,East of England SCN.5,East of England SCN.6,East of England SCN.7,East of England SCN.8,East of England SCN.9,East of England SCN.10,East of England SCN.11,East of England SCN.12,East of England SCN.13,East of England SCN.14,East of England SCN.15,East of England SCN.16,West Midlands SCN,West Midlands SCN.1,West Midlands SCN.2,West Midlands SCN.3,West Midlands SCN.4,West Midlands SCN.5,West Midlands SCN.6,West Midlands SCN.7,West Midlands SCN.8,West Midlands SCN.9,West Midlands SCN.10,West Midlands SCN.11,West Midlands SCN.12,West Midlands SCN.13,West Midlands SCN.14,West Midlands SCN.15,Cheshire and Mersey SCN,Cheshire and Mersey SCN.1,Cheshire and Mersey SCN.2,Cheshire and Mersey SCN.3,Cheshire and Mersey SCN.4,Cheshire and Mersey SCN.5,Cheshire and Mersey SCN.6,Cheshire and Mersey SCN.7,Cheshire and Mersey SCN.8,"Manchester, Lancashire & S.Cumbria SCN","Manchester, Lancashire & S.Cumbria SCN.1","Manchester, Lancashire & S.Cumbria SCN.2","Manchester, Lancashire & S.Cumbria SCN.3","Manchester, Lancashire & S.Cumbria SCN.4","Manchester, Lancashire & S.Cumbria SCN.5","Manchester, Lancashire & S.Cumbria SCN.6","Manchester, Lancashire & S.Cumbria SCN.7","Manchester, Lancashire & S.Cumbria SCN.8","Manchester, Lancashire & S.Cumbria SCN.9","Manchester, Lancashire & S.Cumbria SCN.10","Manchester, Lancashire & S.Cumbria SCN.11","Manchester, Lancashire & S.Cumbria SCN.12","Manchester, Lancashire & S.Cumbria SCN.13","Manchester, Lancashire & S.Cumbria SCN.14","Manchester, Lancashire & S.Cumbria SCN.15",North of England SCN,North of England SCN.1,North of England SCN.2,North of England SCN.3,North of England SCN.4,North of England SCN.5,North of England SCN.6,North of England SCN.7,North of England SCN.8,North of England SCN.9,North of England SCN.10,North of England SCN.11,Yorkshire and The Humber SCN,Yorkshire and The Humber SCN.1,Yorkshire and The Humber SCN.2,Yorkshire and The Humber SCN.3,Yorkshire and The Humber SCN.4,Yorkshire and The Humber SCN.5,Yorkshire and The Humber SCN.6,Yorkshire and The Humber SCN.7,Yorkshire and The Humber SCN.8,Yorkshire and The Humber SCN.9,Yorkshire and The Humber SCN.10,Yorkshire and The Humber SCN.11,Yorkshire and The Humber SCN.12,Yorkshire and The Humber SCN.13,Yorkshire and The Humber SCN.14,Yorkshire and The Humber SCN.15,South East Coast SCN,South East Coast SCN.1,South East Coast SCN.2,South East Coast SCN.3,South East Coast SCN.4,South East Coast SCN.5,South East Coast SCN.6,South East Coast SCN.7,South East Coast SCN.8,South East Coast SCN.9,South East Coast SCN.10,South East Coast SCN.11,South East Coast SCN.12,South East Coast SCN.13,South East Coast SCN.14,South East Coast SCN.15,South East Coast SCN.16,South East Coast SCN.17,South West SCN,South West SCN.1,South West SCN.2,South West SCN.3,South West SCN.4,South West SCN.5,South West SCN.6,South West SCN.7,South West SCN.8,South West SCN.9,South West SCN.10,South West SCN.11,South West SCN.12,South West SCN.13,Thames Valley SCN,Thames Valley SCN.1,Thames Valley SCN.2,Thames Valley SCN.3,Thames Valley SCN.4,Wessex SCN,Wessex SCN.1,Wessex SCN.2,Wessex SCN.3,Wessex SCN.4,Wessex SCN.5,Wessex SCN.6,Northern Ireland,Northern Ireland.1,Wales,Wales.1,Wales.2,Wales.3,Wales.4,Wales.5,Wales.6,Wales.7,Wales.8,Wales.9,Wales.10,Wales.11,Wales.12,Wales.13,London SCN.8,London SCN.9,London SCN.10,London SCN.11,London SCN.12,London SCN.13,London SCN.14,London SCN.15,London SCN.16,London SCN.17,London SCN.18,London SCN.19,London SCN.20,London SCN.21,London SCN.22,London SCN.23,London SCN.24,London SCN.25,London SCN.26,London SCN.27,London SCN.28,Wessex SCN.7,London SCN.29,East of England SCN.17,West Midlands SCN.16,Yorkshire and The Humber SCN.16,South West SCN.14,South West SCN.15,South West SCN.16,South West SCN.17,Thames Valley SCN.5
Patient-centred Domain levels: 3) Thrombolysis,B,A,A,A,B,A,B,A,Insufficient records,E,C,Insufficient records,C,A,D,D,C,E,D,C,C,B,C,D,C,Insufficient records,C,E,Insufficient records,Insufficient records,B,B,C,E,B,E,Insufficient records,Insufficient records,E,B,C,B,D,B,C,B,E,D,D,D,Insufficient records,E,C,D,C,C,D,C,E,Insufficient records,C,E,E,D,D,D,E,A,B,C,C,E,E,D,E,B,C,C,E,E,D,C,C,B,B,E,D,D,D,C,C,E,C,C,E,E,E,D,E,D,C,C,C,B,C,E,A,B,B,Too few to report,C,B,B,E,E,D,C,E,D,E,C,B,C,C,D,C,B,D,D,D,B,B,D,C,A,D,E,C,A,C,B,E,C,None entered,D,Insufficient records,D,C,D,D,E,E,E,D,E,E,E,E,B,E,D,E,C,B,A,B,A,C,E,B,A,A,A,Not included in scoring,A,C,A,C,A,A,B,B,Not included in scoring,B,,,,,,,,,
Patient-centred Domain levels: 4) Specialist Assessments,B,B,C,B,B,A,D,C,Insufficient records,E,A,Insufficient records,D,B,C,C,C,E,E,B,D,C,C,D,D,Insufficient records,B,A,Insufficient records,Insufficient records,C,B,B,E,B,D,Insufficient records,Insufficient records,E,D,B,D,E,E,E,C,D,E,D,C,Insufficient records,E,E,B,D,D,D,B,E,Insufficient records,E,C,E,E,B,D,D,B,B,D,D,C,E,E,B,B,B,B,C,B,B,C,B,B,B,D,D,E,E,B,D,E,C,D,C,E,E,D,D,B,E,C,A,D,C,D,A,A,B,Too few to report,D,B,A,E,D,E,D,B,E,D,E,E,E,E,D,D,B,E,D,D,C,D,E,E,A,E,E,D,B,D,B,E,E,None entered,E,Insufficient records,E,D,E,E,E,E,D,E,E,E,E,E,D,E,E,D,B,B,B,B,C,C,E,D,B,B,C,Not included in scoring,B,B,C,C,A,B,D,C,Not included in scoring,D,,,,,,,,,
Patient-centred Domain levels: 5) Occupational therapy,A,A,C,C,C,A,C,A,Insufficient records,E,C,Insufficient records,B,A,A,D,C,A,C,B,A,C,A,E,C,Insufficient records,B,C,Insufficient records,None entered,C,C,D,A,C,E,Insufficient records,Insufficient records,E,E,E,E,D,C,C,D,E,A,C,C,Insufficient records,D,C,D,A,C,C,C,C,Insufficient records,D,C,E,C,D,B,C,C,C,C,C,C,E,A,E,C,C,E,B,C,C,A,B,C,A,D,E,B,C,B,E,C,C,E,None entered,C,A,D,D,E,D,B,E,E,E,C,D,C,C,Too few to report,D,A,Insufficient records,C,C,Insufficient records,D,D,D,C,D,D,E,A,E,A,C,C,E,B,B,C,E,A,D,C,B,A,A,B,D,E,E,None entered,A,Insufficient records,E,E,Insufficient records,Insufficient records,D,Insufficient records,Insufficient records,None entered,None entered,Insufficient records,Too few to report,E,A,C,Insufficient records,None entered,B,A,B,A,Too few to report,C,C,B,C,A,A,Too few to report,A,C,C,C,A,A,C,B,Too few to report,E,A,C,C,C,Not included in scoring,A,B,B,C
Patient-centred Domain levels: 6) Physiotherapy,B,B,C,B,C,B,B,A,Insufficient records,E,C,Insufficient records,C,A,B,C,C,B,E,A,B,B,B,E,D,Insufficient records,D,C,Insufficient records,None entered,C,D,D,B,B,E,Insufficient records,Insufficient records,D,D,B,E,D,B,C,D,E,B,C,C,Insufficient records,D,B,D,A,C,D,D,B,Insufficient records,E,D,E,D,E,D,E,D,D,D,D,D,E,C,D,E,C,D,D,A,D,B,B,C,D,D,D,C,D,C,D,B,C,D,None entered,C,D,B,E,D,E,C,E,E,E,D,D,B,C,Too few to report,D,D,Insufficient records,D,D,Insufficient records,B,D,D,A,E,D,C,A,B,D,E,D,E,D,B,D,C,B,D,C,D,C,A,B,C,D,E,None entered,C,Insufficient records,E,D,Insufficient records,Insufficient records,B,Insufficient records,Insufficient records,None entered,None entered,Insufficient records,Too few to report,E,A,E,Insufficient records,None entered,B,A,B,B,Too few to report,C,B,A,C,A,B,Too few to report,B,B,D,C,B,A,C,B,Too few to report,C,A,C,B,B,Not included in scoring,B,A,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,C,A,E,C,B,B,C,C,Insufficient records,E,E,Insufficient records,E,C,A,E,C,E,E,E,E,D,E,E,D,Insufficient records,C,E,Insufficient records,None entered,D,E,E,E,E,E,Insufficient records,Insufficient records,E,E,D,E,E,E,E,E,E,E,E,E,Insufficient records,E,D,E,E,E,E,E,E,Insufficient records,E,E,E,E,E,D,E,E,E,E,C,E,E,E,E,E,E,E,D,B,E,E,C,D,E,E,E,E,E,D,E,C,E,E,None entered,E,D,E,E,E,E,E,C,E,D,E,E,E,E,Too few to report,E,C,Insufficient records,E,E,Insufficient records,E,E,E,E,E,E,E,D,E,C,E,E,E,C,E,E,E,E,E,D,D,D,C,D,E,E,E,None entered,D,Insufficient records,E,E,Insufficient records,Insufficient records,E,Insufficient records,Insufficient records,None entered,None entered,Insufficient records,Too few to report,E,C,E,Insufficient records,None entered,B,B,A,A,Too few to report,C,C,C,B,A,C,Too few to report,C,B,C,C,B,B,C,A,Too few to report,E,A,C,E,C,Not included in scoring,A,C,B,B
Patient-centred Domain levels: 8) MDT working,C,B,E,B,D,D,C,C,Insufficient records,D,C,Insufficient records,C,B,C,D,D,E,E,B,C,D,D,E,D,Insufficient records,D,D,Insufficient records,Insufficient records,D,E,E,D,C,D,Insufficient records,Insufficient records,E,D,C,E,D,E,D,C,D,D,D,D,Insufficient records,A,B,B,C,D,B,A,E,Insufficient records,D,E,E,C,D,C,D,E,B,D,E,B,E,C,D,C,C,C,D,D,C,C,B,B,A,E,E,D,E,E,E,D,C,E,D,E,D,C,D,D,E,C,A,E,E,E,D,C,D,Too few to report,E,C,D,D,E,D,D,D,E,E,E,D,E,D,E,E,D,E,C,C,C,E,E,D,D,D,E,D,C,B,D,D,C,None entered,C,Insufficient records,E,E,D,D,D,E,D,E,E,E,E,E,C,D,D,D,C,D,B,B,C,C,C,D,D,C,E,Too few to report,C,D,D,D,D,D,D,D,Too few to report,E,E,E,E,D,Not included in scoring,E,E,D,E
Patient-centred Domain levels: 9) Standards by discharge,B,B,E,B,D,B,B,B,Insufficient records,E,E,Insufficient records,B,C,D,C,C,B,E,A,D,B,B,D,B,Insufficient records,E,E,Insufficient records,None entered,B,B,C,E,D,D,Insufficient records,Insufficient records,E,D,B,E,E,D,E,B,D,E,D,A,Insufficient records,B,C,C,C,E,C,B,D,Insufficient records,B,B,E,B,B,B,C,C,D,A,D,E,B,D,B,D,D,D,D,E,C,D,B,E,B,B,B,E,E,D,D,E,B,D,None entered,B,D,B,A,D,E,B,A,E,C,E,C,B,D,Too few to report,C,C,Insufficient records,D,D,Insufficient records,B,D,D,E,B,C,E,A,C,E,C,D,D,D,C,C,B,E,E,E,B,E,C,E,D,A,E,None entered,D,Insufficient records,E,E,Insufficient records,Insufficient records,D,Insufficient records,Insufficient records,None entered,None entered,Insufficient records,Too few to report,B,C,E,Insufficient records,None entered,B,B,B,B,Too few to report,B,B,B,B,B,E,Too few to report,B,C,A,B,B,D,A,A,Too few to report,D,A,E,D,D,Not included in scoring,E,B,D,C
Patient-centred Domain levels: 10) Discharge processes,D,A,C,B,D,D,C,A,Insufficient records,E,E,Insufficient records,B,E,D,D,B,C,E,A,D,D,D,C,E,Insufficient records,D,E,Insufficient records,None entered,D,D,D,B,C,C,Insufficient records,Insufficient records,E,B,C,E,E,C,C,D,C,D,E,A,Insufficient records,E,E,D,D,D,B,D,C,Insufficient records,D,E,C,D,E,C,E,C,E,B,D,E,D,B,B,E,C,E,E,E,D,D,D,C,E,A,C,B,D,C,D,D,C,C,None entered,D,A,A,C,B,D,D,B,E,E,D,E,D,E,Too few to report,D,D,Insufficient records,E,D,Insufficient records,C,D,D,D,B,E,B,B,B,C,D,E,C,C,B,C,D,A,C,E,E,C,C,D,C,B,D,None entered,B,Insufficient records,E,D,Insufficient records,Insufficient records,D,Insufficient records,Insufficient records,None entered,None entered,Insufficient records,Too few to report,C,C,E,Insufficient records,None entered,D,A,A,B,Too few to report,C,A,B,D,A,C,Too few to report,B,C,A,C,D,C,B,A,Too few to report,E,D,C,A,C,Not included in scoring,D,C,B,D
Patient-centred KI level Patient-centred Total KI level,B,A,D,B,C,B,C,A,Insufficient records,E,D,Insufficient records,D,B,C,D,C,D,E,B,D,C,C,D,D,Insufficient records,D,D,Insufficient records,Insufficient records,C,D,D,D,C,E,Insufficient records,Insufficient records,E,D,C,E,E,D,D,D,E,D,D,D,Insufficient records,D,D,D,D,D,D,C,D,Insufficient records,E,D,E,D,D,D,E,C,D,C,D,D,E,D,D,D,D,D,D,D,D,D,C,C,C,D,D,D,E,D,D,D,D,D,D,E,D,C,D,D,E,D,C,D,D,E,D,C,D,Too few to report,D,C,B,E,E,D,D,D,E,D,D,D,D,C,D,D,D,E,D,D,C,D,E,D,D,E,D,D,B,D,D,D,E,No records,D,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,B,E,D,E,B,B,A,A,B,C,C,B,B,A,C,Not included in scoring,A,C,B,C,B,B,C,B,Not included in scoring,D,B,D,C,C,Not included in scoring,C,C,B,C
Patient-centred KI level Patient-centred Total KI score,72,86,58,76,62,80,68,82,.,22,50,.,58,76,66,48,60,48,30,78,56,62,64,40,48,.,52,50,.,.,60,56,54,44,64,30,.,.,30,46,66,38,28,52,44,54,32,42,44,54,.,48,50,50,58,44,50,62,42,.,38,40,26,44,48,52,34,62,58,60,44,46,36,50,52,54,54,48,44,52,50,58,68,62,64,40,40,44,34,52,42,42,58,42,40,36,50,60,44,54,32,56,64,42,46,34,58,68,56,.,46,66,72,32,34,40,58,46,30,40,40,44,40,60,44,52,56,30,44,46,62,52,36,56,56,36,42,56,76,52,56,48,34,.,50,.,22,30,28,28,34,20,28,24,20,28,24,30,70,26,40,36,70,78,82,82,72,66,60,72,72,88,68,.,82,68,74,64,80,78,68,80,.,40,80,48.6,60,60,.,62.9,68.6,71.4,62.9
Team-centred Domain levels: 1) Scanning,B,B,A,A,A,B,A,A,Insufficient records,E,B,Insufficient records,D,A,B,C,B,E,D,A,B,C,B,B,C,Insufficient records,C,A,Insufficient records,None entered,C,B,A,D,B,E,Insufficient records,Insufficient records,B,C,A,C,E,B,A,B,D,D,C,D,Insufficient records,C,D,D,D,D,D,C,E,Insufficient records,E,E,E,E,C,D,E,A,B,C,E,C,C,E,B,C,D,C,D,D,E,D,D,C,D,E,E,D,D,E,B,D,C,C,D,E,C,C,C,B,E,E,B,A,A,C,A,A,A,Too few to report,B,B,B,D,D,C,A,B,E,E,E,B,B,E,D,A,B,E,C,E,D,A,E,C,B,E,D,B,B,E,E,B,E,None entered,E,Insufficient records,E,E,E,E,E,E,E,E,E,C,D,E,B,E,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,D,C,B,C,D,A,C,C,Insufficient records,E,D,Insufficient records,C,C,C,C,D,C,D,C,C,B,B,C,D,Insufficient records,D,C,Insufficient records,None entered,B,C,B,E,B,E,Insufficient records,Insufficient records,D,D,B,B,E,C,E,D,E,E,C,E,Insufficient records,B,D,C,C,C,D,B,B,Insufficient records,E,E,D,C,B,E,D,B,B,C,E,B,C,D,C,A,C,B,C,C,B,B,B,B,B,E,C,D,D,C,C,D,C,C,D,E,D,B,D,A,C,B,E,B,C,E,C,C,C,Too few to report,C,C,C,E,E,D,C,C,E,C,D,D,E,D,D,E,B,E,C,D,C,D,E,C,C,D,C,C,C,C,A,C,C,None entered,D,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,C,E,E,E,A,A,A,A,A,A,A,A,A,A,A,Too few to report,A,A,A,B,A,A,A,A,Too few to report,B,A,A,A,A,Too few to report,A,A,A,A
Team-centred Domain levels: 3) Thrombolysis,B,A,A,A,B,A,B,A,Insufficient records,E,B,Insufficient records,C,A,E,D,C,E,D,C,C,B,C,D,C,Insufficient records,C,E,Insufficient records,None entered,B,B,C,E,B,E,Insufficient records,Insufficient records,E,B,C,B,E,C,C,B,E,D,E,D,Insufficient records,E,C,D,C,C,D,C,E,Insufficient records,E,E,E,D,D,E,E,A,B,E,E,E,E,E,E,B,C,C,E,E,D,C,C,B,B,E,D,D,D,D,C,E,C,C,E,E,E,D,E,D,C,C,C,B,C,E,A,B,B,Too few to report,C,C,B,E,E,D,C,D,D,E,C,B,C,C,E,C,B,D,D,D,B,B,D,C,A,E,E,C,A,C,B,E,C,None entered,D,Insufficient records,D,C,D,D,E,E,E,D,E,E,E,E,B,E,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,B,B,C,B,B,A,D,C,Insufficient records,E,A,Insufficient records,D,B,C,C,C,E,E,B,D,C,C,D,D,Insufficient records,B,A,Insufficient records,None entered,C,B,B,E,B,D,Insufficient records,Insufficient records,E,D,B,D,E,E,E,C,D,E,D,C,Insufficient records,E,E,B,D,D,D,B,E,Insufficient records,E,E,E,E,B,D,E,B,B,E,E,C,E,E,B,B,B,B,C,B,B,C,B,B,B,D,D,E,E,B,D,E,C,D,C,E,E,D,D,B,E,C,A,D,C,D,A,A,B,Too few to report,D,B,A,E,D,E,D,B,E,D,E,E,E,E,D,D,B,E,D,D,C,D,E,E,A,E,E,D,B,D,B,E,E,None entered,E,Insufficient records,E,D,E,E,E,E,D,E,E,E,E,E,D,E,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,A,A,C,C,D,A,C,A,Insufficient records,E,C,Insufficient records,B,A,A,D,C,A,Insufficient records,A,A,C,A,E,C,Insufficient records,C,C,Insufficient records,None entered,C,C,D,A,C,E,Insufficient records,Insufficient records,E,E,E,E,D,C,C,D,E,Insufficient records,C,C,Insufficient records,D,C,D,A,C,C,C,C,Insufficient records,D,D,E,C,D,B,D,D,D,C,C,C,E,B,E,C,C,E,B,C,C,A,C,C,A,D,E,C,C,B,E,C,C,E,None entered,Insufficient records,A,D,D,E,D,B,E,E,E,C,D,C,C,Too few to report,E,A,Insufficient records,C,C,Insufficient records,D,D,D,C,D,D,E,A,E,C,D,D,E,C,B,C,E,B,D,C,B,A,A,B,D,E,E,None entered,A,Insufficient records,E,E,Insufficient records,Insufficient records,D,Insufficient records,Insufficient records,None entered,None entered,Insufficient records,E,E,A,C,Insufficient records,Insufficient records,C,B,B,C,A,B,E,C,D,A,B,Too few to report,A,D,C,C,A,A,C,A,Too few to report,E,A,C,C,D,Too few to report,A,B,A,C
Team-centred Domain levels: 6) Physiotherapy,B,B,C,B,B,B,C,B,Insufficient records,E,C,Insufficient records,C,A,B,D,C,B,Insufficient records,A,B,B,B,E,D,Insufficient records,D,D,Insufficient records,None entered,C,D,D,B,B,E,Insufficient records,Insufficient records,D,D,B,E,D,C,C,D,E,Insufficient records,D,C,Insufficient records,D,B,D,A,C,D,D,B,Insufficient records,E,D,E,D,E,D,E,E,D,D,D,D,E,C,D,E,C,D,D,A,D,B,B,C,D,D,D,C,D,C,D,B,D,D,None entered,Insufficient records,D,B,E,D,E,C,E,D,E,D,D,B,C,Too few to report,D,C,Insufficient records,D,D,Insufficient records,B,D,D,A,E,C,C,A,C,E,E,D,E,D,B,D,C,B,D,C,D,B,A,B,D,D,E,None entered,C,Insufficient records,D,D,Insufficient records,Insufficient records,B,Insufficient records,Insufficient records,None entered,None entered,Insufficient records,D,E,A,E,Insufficient records,Insufficient records,B,A,C,B,B,C,B,B,D,A,B,Too few to report,A,D,D,C,A,A,C,B,Too few to report,D,A,D,B,D,Too few to report,A,A,A,B
Team-centred Domain levels: 7) Speech and Language therapy,B,B,E,C,B,B,C,D,Insufficient records,E,E,Insufficient records,E,C,A,E,C,E,Insufficient records,D,E,D,E,E,D,Insufficient records,C,E,Insufficient records,None entered,D,E,E,E,E,E,Insufficient records,Insufficient records,E,E,D,E,E,E,E,E,E,Insufficient records,E,E,Insufficient records,D,D,E,D,E,E,E,E,Insufficient records,E,E,E,E,E,D,E,E,E,E,C,E,E,E,E,E,E,E,D,B,E,E,C,D,E,E,E,D,E,D,E,C,E,E,None entered,Insufficient records,D,E,E,E,E,E,C,E,D,E,E,E,E,Too few to report,E,D,Insufficient records,E,E,Insufficient records,E,E,E,E,E,D,E,C,E,D,E,E,E,D,E,E,E,E,D,D,D,E,C,D,E,E,E,None entered,C,Insufficient records,E,E,Insufficient records,Insufficient records,E,Insufficient records,Insufficient records,None entered,None entered,Insufficient records,E,E,C,E,Insufficient records,Insufficient records,C,B,B,E,D,D,D,D,B,A,C,Too few to report,D,E,D,E,C,C,C,B,Too few to report,E,B,D,E,C,Too few to report,B,D,C,B
Team-centred Domain levels: 8) MDT working,B,B,C,B,D,B,C,B,Insufficient records,E,B,Insufficient records,D,B,C,D,D,E,E,B,B,D,D,E,C,Insufficient records,B,C,Insufficient records,None entered,B,D,D,D,A,D,Insufficient records,Insufficient records,E,D,C,D,E,E,C,B,D,D,C,D,Insufficient records,B,B,B,B,D,B,A,E,Insufficient records,C,D,E,C,C,C,C,E,B,E,D,C,D,B,D,C,C,C,B,C,C,B,B,B,A,E,E,D,D,D,D,C,B,E,D,E,D,C,D,D,E,C,A,E,E,E,C,B,D,Too few to report,E,C,D,C,D,D,D,C,E,D,E,C,D,C,E,E,C,E,C,C,C,E,E,C,B,C,E,D,C,B,D,C,C,None entered,C,Insufficient records,E,E,D,D,D,E,D,E,E,E,E,E,C,C,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,B,E,B,D,A,B,B,Too few to report,D,E,Insufficient records,B,C,D,C,C,B,E,A,D,B,B,D,B,Insufficient records,E,E,Too few to report,None entered,B,B,C,E,D,D,Insufficient records,Too few to report,E,D,B,E,E,D,E,B,D,E,D,A,Too few to report,B,C,C,C,E,C,B,D,Insufficient records,B,B,E,B,B,B,C,D,D,A,D,E,B,D,B,D,D,D,D,E,C,D,B,E,B,B,B,D,E,D,D,D,B,D,None entered,B,D,B,A,D,E,A,A,E,C,E,C,B,D,Too few to report,C,C,Too few to report,D,D,Insufficient records,B,D,D,E,B,B,E,A,C,D,C,D,D,D,C,C,B,E,E,E,B,D,C,E,D,A,E,None entered,D,Insufficient records,E,E,Insufficient records,Too few to report,D,Insufficient records,Too few to report,None entered,None entered,Insufficient records,Too few to report,B,Too few to report,E,Too few to report,None entered,B,B,B,B,Too few to report,B,B,B,B,B,E,Too few to report,B,C,A,B,B,D,A,Too few to report,Too few to report,E,A,E,E,E,Too few to report,E,B,E,D
Team-centred Domain levels: 10) Discharge processes,E,A,C,C,E,D,D,A,Too few to report,B,E,Insufficient records,B,E,D,D,B,C,E,A,D,D,D,D,E,Insufficient records,E,E,Too few to report,None entered,D,D,D,B,C,C,Insufficient records,Too few to report,E,B,C,E,E,E,C,D,C,D,E,A,Too few to report,E,E,D,D,E,B,D,C,Insufficient records,D,E,C,D,E,C,E,B,E,B,D,E,D,B,B,E,C,E,E,E,D,D,D,C,E,A,C,B,D,C,D,D,C,C,None entered,D,A,A,C,B,D,D,B,E,E,D,E,D,E,Too few to report,D,D,Too few to report,E,D,Insufficient records,C,D,D,D,B,E,B,B,B,C,D,E,C,D,B,C,D,A,C,E,E,D,C,D,B,B,D,None entered,B,Insufficient records,E,D,Insufficient records,Too few to report,D,Insufficient records,Too few to report,None entered,None entered,Insufficient records,Too few to report,C,Too few to report,E,Too few to report,None entered,D,A,A,B,Too few to report,C,A,B,D,A,D,Too few to report,A,C,A,C,D,C,A,Too few to report,Too few to report,E,D,C,A,C,Too few to report,D,C,B,D
Team-centred KI level Team-centred Total KI level,B,A,C,B,C,A,C,B,Insufficient records,E,D,Insufficient records,D,B,C,D,C,D,E,A,C,C,C,E,D,Insufficient records,D,D,Insufficient records,No records,C,D,D,D,C,E,Insufficient records,Insufficient records,E,D,C,D,E,D,D,D,E,E,D,D,Insufficient records,D,D,D,C,D,D,C,D,Insufficient records,E,E,E,D,D,D,E,D,D,D,E,D,E,D,D,D,D,D,D,D,D,C,C,C,C,D,D,D,E,D,D,D,D,D,D,E,D,C,D,D,E,D,C,D,D,E,C,B,D,Too few to report,D,C,B,E,E,D,D,D,E,D,D,D,D,C,D,D,D,E,D,D,C,D,E,D,C,E,D,D,B,D,D,D,E,No records,D,Insufficient records,E,E,E,E,E,E,E,E,E,E,E,E,B,E,D,E,B,A,A,B,B,B,B,B,C,A,C,Too few to report,A,D,B,C,B,B,B,A,Too few to report,E,A,D,C,D,Too few to report,B,B,B,C
Team-centred KI level Team-centred Total KI score,72,84,62,76,60,86,64,80,.,28,56,.,56,76,64,46,60,48,28.6,82,60,62,64,38,50,.,52,50,.,.,64,58,56,44,68,30,.,.,30,46,66,40,24,44,48,56,32,31.4,42,54,.,48,50,50,62,42,50,62,42,.,34,32,26,44,50,48,32,58,56,48,36,44,38,46,52,54,54,48,48,54,50,60,66,62,64,40,40,46,36,52,44,46,58,42,40,31.4,50,60,44,54,32,58,64,44,46,34,60,70,56,.,44,64,72,34,36,40,58,50,30,42,40,52,42,64,40,46,56,28,42,42,62,52,34,56,62,36,42,56,76,52,54,50,34,.,52,.,24,30,28,28,34,20,28,24,20,28,25,30,72.5,28,40,36,70,90,83.3,70,80,70,70,73.3,63.3,96.7,63.3,.,86.7,53.3,73.3,60,80,76.7,80,90,.,33.3,86.7,53.3,63.3,53.3,.,73.3,76.7,76.7,66.7
