SSNAP Scoring Summary:,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
Team-centred Domain levels: 7) Speech and Language therapy,A,A,A,A,B,B,A,A,B,B,B,B,B,A,B,B,A,B,A,A
Team-centred Domain levels: 8) MDT working,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 9) Standards by discharge,C,B,B,B,A,B,B,B,B,C,B,B,B,B,B,B,B,B,A,A
Team-centred Domain levels: 10) Discharge processes,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI score,92,92,88,90,90.0,86,90,84.0,82.0,82.0,80.0,84.0,86.0,88.0,88.0,88.0,90.0,90.0,94.0,92.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred SSNAP level Team-centred SSNAP score,92,92,88,90,90.0,86,90,84.0,82.0,82.0,80.0,84.0,86.0,88.0,88.0,88.0,90.0,90.0,94.0,92.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),305,338,350,340,371,329,324,328,322,357,329,342,398,378,356,353,391,439,441,372
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),0.78,0.83,0.77,0.75,78%,0.78,0.8,83%,85%,90%,84%,81%,86%,87%,82%,80%,87%,87%,87%,83%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),186,192,233,240,235,196,194,183,204,224,172,151,156,164,197,230,249,244,211,242
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0.61,0.57,0.67,0.71,63%,0.6,0.6,56%,63%,63%,52%,44%,39%,43%,55%,65%,64%,56%,48%,65%
