SSNAP Scoring Summary:,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
Patient-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,C,D,D,D,E,E,B,D,B,B,B,B,B,C,D,C,B,C,C,C,D,C,C,B,C,D
Patient-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,C,C,B,B,C,C,C,C,C,C,D,C,B,A,A,A,A,A,A,B,C,A,A,A,A,A
Patient-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,B,E,D,E,D,D,C,C,B,C,C,B,B,B,B,B,A,B,C,B,C,B,B,B,B,A
Patient-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,E,E,E,D,D,E,B,B,B,B,D,E,C,D,D,B,C,D,B,C,B,E,B,C,D,C
Patient-centred Domain levels: 8) MDT working,None entered,None entered,None entered,E,E,E,E,E,E,D,D,D,D,E,D,D,C,C,C,C,C,D,D,C,D,D,D,D,E
Patient-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,D,D,C,C,C,C,A,B,B,A,B,A,B,B,A,A,A,A,B,B,A,B,B,B,B,B
Patient-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,No records,No records,No records,D,E,D,D,D,E,B,C,B,B,C,C,B,B,C,B,B,B,B,B,C,C,B,B,B,B
Patient-centred KI level Patient-centred Total KI score,.,.,.,54,36,44,44,42,36,70,64,72,72,60.0,68,72,70.0,62.0,76.0,78.0,74.0,70.0,70.0,66.0,66.0,74.0,78.0,74.0,74.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",,,,D,E,D,D,E,E,B,C,B,B,C,C,B,B,C,B,B,B,B,B,C,C,B,B,B,B
Patient-centred SSNAP level Patient-centred SSNAP score,.,.,.,48.7,34.2,41.8,41.8,39.9,36,70,60.8,72,72,60.0,68,72,70.0,62.0,76.0,78.0,74.0,70.0,70.0,66.0,66.0,74.0,78.0,74.0,74.0
Team-centred Domain levels: 1) Scanning,None entered,None entered,None entered,B,B,C,C,B,D,A,A,A,A,A,A,A,A,C,C,A,A,A,A,A,A,D,C,B,B
Team-centred Domain levels: 2) Stroke unit,None entered,None entered,None entered,C,E,E,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,A,D,E
Team-centred Domain levels: 3) Thrombolysis,None entered,None entered,None entered,B,E,C,D,D,D,D,C,B,B,D,B,B,C,E,C,C,B,C,C,C,C,D,B,D,E
Team-centred Domain levels: 4) Specialist Assessments,None entered,None entered,None entered,C,D,D,D,E,E,D,E,B,B,B,B,B,C,D,D,B,C,C,C,D,C,D,B,D,E
Team-centred Domain levels: 5) Occupational therapy,None entered,None entered,None entered,C,C,B,B,C,C,C,C,C,C,D,C,B,A,A,A,A,A,B,B,D,B,E,E,E,E
Team-centred Domain levels: 6) Physiotherapy,None entered,None entered,None entered,B,E,D,E,D,D,C,D,B,C,C,C,B,B,B,B,B,B,C,B,D,C,E,E,E,E
Team-centred Domain levels: 7) Speech and Language therapy,None entered,None entered,None entered,E,E,E,D,D,E,C,C,B,B,D,E,D,D,D,C,D,D,B,C,C,E,E,D,E,D
Team-centred Domain levels: 8) MDT working,None entered,None entered,None entered,D,E,D,E,E,E,D,C,C,C,D,D,D,C,C,C,C,D,D,E,C,D,E,D,E,E
Team-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,D,D,C,C,C,C,A,C,B,A,B,A,A,A,A,A,A,A,B,B,A,B,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,D,D,D,D,D,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Too few to report,Too few to report,Too few to report,Too few to report
Team-centred KI level Team-centred Total KI level,No records,No records,No records,D,E,D,D,D,E,C,D,B,B,C,C,B,B,C,C,B,B,C,C,C,C,E,D,E,E
Team-centred KI level Team-centred Total KI score,.,.,.,56,36,46,44,44,36,62,58,74,74,60.0,66,72,72.0,62.0,68.0,74.0,72.0,68.0,66.0,62.0,62.0,27.5,55.0,35.0,30.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,,D,E,D,D,D,E,C,D,B,B,C,C,B,B,C,C,B,B,C,C,C,C,E,D,E,E
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,50.5,34.2,43.7,41.8,41.8,36,62,55.1,74,74,60.0,66,72,72.0,62.0,68.0,74.0,72.0,68.0,66.0,62.0,62.0,27.5,55.0,35.0,30.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.,.,.,.,9,45,77,66,45,38,34,46,43,48,55,16,42,71,72,70,78,69,64,68,68,47,57,55
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.,.,.,.,1,1,1,0.92,0.79,0.79,0.89,0.9,93%,0.91,0.87,100%,91%,88%,91%,82%,89%,92%,89%,92%,91%,81%,86%,93%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.,.,.,.,0,0,8,39,32,28,21,33,31,28,46,13,17,22,8,23,22,30,30,34,40,19,43,31
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,.,.,.,.,0,0,0.1,0.59,0.71,0.74,0.62,0.72,72%,0.58,0.84,81%,40%,31%,11%,33%,28%,43%,47%,50%,59%,40%,75%,56%
