SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
Patient-centred Domain levels: 4) Specialist Assessments,D,B,B,B,B,A,A,A,A,B,B,B,B,D,A,A,B,D,C,B,B,C,B,A,B,B,B,A,B
Patient-centred Domain levels: 5) Occupational therapy,D,C,A,A,A,A,B,C,A,A,A,A,A,A,A,A,A,B,A,A,B,B,A,B,B,B,B,B,C
Patient-centred Domain levels: 6) Physiotherapy,E,E,D,B,B,B,A,C,A,B,A,A,A,B,A,A,B,B,B,B,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,D,D,D,E,B,C,B,C,C,C,B,D,C,B,B,B,A,B,B,C,B,B,B,C,B,C,B,B,B
Patient-centred Domain levels: 8) MDT working,E,D,C,C,B,A,A,A,B,C,B,B,A,C,A,A,C,D,B,C,B,D,B,B,C,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,A,A,B,B,B,A,A,B,A,B,A,A,A,A,A,B,A,A,A,A,A,B,B,A,B,A,B,A
Patient-centred Domain levels: 10) Discharge processes,D,D,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,B,C,B,A,A,B,A,B,B,B,A,B,A,A,A,C,A,B,B,B,B,B,B,B,B,A,B
Patient-centred KI level Patient-centred Total KI score,44,56,70,68,72,84,90,80,84,76,80,74,84,72.0,92,92,82.0,68.0,82.0,74.0,78.0,72.0,80.0,80.0,78.0,74.0,78.0,82.0,80.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,D,D,C,A,C,A,B,B,B,B,B,A,A,A,C,A,B,B,C,B,B,B,C,B,A,B
Patient-centred SSNAP level Patient-centred SSNAP score,33.4,47.6,56.5,57.8,52,67.2,81,68.4,84,76,80,74,75.8,72.0,92,92,82.0,68.0,82.0,74.0,74.1,68.4,80.0,80.0,74.1,66.6,78.0,82.0,80.0
Team-centred Domain levels: 1) Scanning,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 2) Stroke unit,C,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,B,C,B,B,C,D,C,D,C,D,C
Team-centred Domain levels: 3) Thrombolysis,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 4) Specialist Assessments,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 5) Occupational therapy,C,C,A,A,A,A,C,C,A,C,A,C,B,B,A,A,A,C,A,B,A,B,A,B,B,B,C,A,C
Team-centred Domain levels: 6) Physiotherapy,E,E,D,B,B,B,A,D,B,C,B,A,B,B,B,B,B,C,B,B,B,C,B,B,B,B,B,B,B
Team-centred Domain levels: 7) Speech and Language therapy,D,E,D,E,C,C,D,C,E,E,D,D,D,C,C,C,B,C,C,C,C,B,C,C,C,E,C,B,C
Team-centred Domain levels: 8) MDT working,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Team-centred Domain levels: 9) Standards by discharge,B,A,A,B,B,B,A,A,B,A,B,A,A,A,A,A,B,A,B,B,A,A,B,B,A,B,A,B,A
Team-centred Domain levels: 10) Discharge processes,D,D,C,C,C,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,B,B,B,A,A,B,B,B,A,A,A,A,A,A,A,B,A,B,A,A,B,B,B,C,B,B,B
Team-centred KI level Team-centred Total KI score,42,56.7,73.3,73.3,80,83.3,83.3,76.7,76.7,73.3,83.3,83.3,83.3,86.7,90,90,90.0,80.0,83.3,76.7,86.7,83.3,80.0,73.3,80.0,66.7,76.7,80.0,76.7
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,C,D,C,B,C,B,B,A,A,B,A,A,A,A,B,A,B,A,B,B,B,B,C,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,31.9,48.2,59.2,62.3,57.8,66.7,75,65.5,76.7,73.3,83.3,83.3,75.2,86.7,90,90,90.0,80.0,83.3,76.7,82.3,79.2,80.0,73.3,76.0,60.0,76.7,80.0,76.7
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,62,81,66,51,56,65,57,42,53,50,40,54,47,44,52,87,101,101,88,87,103,102,91,90,95,93,97,96
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,1,1,1,1,1,0.95,0.91,0.91,0.89,0.92,84%,0.77,0.85,90%,88%,89%,92%,90%,95%,100%,100%,99%,97%,95%,94%,96%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,0,0,1,1,0,0,2,14,13,7,16,19,18,19,36,47,44,27,11,5,1,1,2,1,0,0,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0,0,0.02,0.02,0,0,0.05,0.26,0.26,0.18,0.3,40%,0.41,0.37,41%,47%,44%,31%,13%,5%,1%,1%,2%,1%,0%,0%,1%
