SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01
Patient-centred Domain levels: 10) Discharge processes,C,B,B,A,A,B,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,C,B,B,A,A,C,B,B,B,B,B,B,B,C,C,B,B,C,C,C,B,C,D,TFP
Patient-centred KI level Patient-centred Total KI score,64,70,76,82,84,64,70,74,80,70,76,78,70,66,68.0,72,72,64.0,64.0,60.0,72.0,60.0,56.0,.
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,C,C,B,B,C,D,B,B,C,B,B,B,C,C,B,B,C,C,C,B,C,D,TFP
Patient-centred SSNAP level Patient-centred SSNAP score,51.7,63,68.4,73.8,75.8,60.8,44.1,70.3,76,66.5,72.2,78,70,66,68.0,72,72,64.0,64.0,60.0,72.0,60.0,56.0,.
Team-centred Domain levels: 1) Scanning,C,C,D,C,C,C,D,C,C,C,B,B,B,B,C,B,B,B,C,C,B,B,B,
Team-centred Domain levels: 2) Stroke unit,C,C,C,C,C,D,E,D,C,E,D,D,E,E,E,E,E,E,E,E,E,E,E,D
Team-centred Domain levels: 3) Thrombolysis,B,A,B,A,B,B,B,C,A,C,C,C,D,D,D,D,D,D,D,E,E,E,D,
Team-centred Domain levels: 4) Specialist Assessments,B,B,B,B,B,B,B,B,B,B,B,B,C,D,B,B,C,B,C,C,B,C,D,
Team-centred Domain levels: 5) Occupational therapy,C,C,A,A,A,C,A,A,A,A,A,A,A,A,A,A,A,C,B,A,A,A,B,D
Team-centred Domain levels: 6) Physiotherapy,C,B,A,A,A,C,A,A,A,A,A,A,A,A,A,A,B,C,B,B,A,B,B,D
Team-centred Domain levels: 7) Speech and Language therapy,E,E,D,C,C,E,E,D,E,E,C,C,D,D,E,D,C,B,C,D,C,E,E,C
Team-centred Domain levels: 8) MDT working,A,A,A,A,A,B,B,B,B,B,A,A,A,B,C,A,A,C,C,C,D,D,D,
Team-centred Domain levels: 9) Standards by discharge,C,C,B,C,A,B,B,B,B,B,C,C,C,B,B,B,B,C,B,C,B,C,D,B
Team-centred Domain levels: 10) Discharge processes,C,B,B,A,A,B,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,C,B,B,A,A,C,B,B,B,B,B,B,B,C,C,B,B,C,C,C,C,D,D,TFP
Team-centred KI level Team-centred Total KI score,64,70,76,82,84,64,70,74,78,70,76,78,70,66,66.0,74,72,64.0,64.0,60.0,68.0,58.0,54.0,.
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,C,C,B,B,C,D,B,B,C,B,B,B,C,C,B,B,C,C,C,C,D,D,TFP
Team-centred SSNAP level Team-centred SSNAP score,51.7,63,68.4,73.8,75.8,60.8,44.1,70.3,74.1,66.5,72.2,78,70,66,66.0,74,72,64.0,64.0,60.0,68.0,58.0,54.0,.
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,184,234,221,226,269,243,234,259,248,179,156,155,142,130,118,120,178,167,147,143,141,127,131
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.7,0.84,0.89,0.93,0.95,0.98,0.99,0.99,0.98,0.76,0.71,0.72,0.71,66%,0.61,0.61,79%,82%,82%,77%,69%,64%,69%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,111,169,125,93,116,92,72,77,89,99,90,98,92,91,82,75,96,81,81,62,101,82,61
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.6,0.72,0.57,0.41,0.43,0.38,0.31,0.3,0.36,0.55,0.58,0.63,0.65,70%,0.69,0.63,54%,49%,55%,43%,72%,65%,47%
