SSNAP Scoring Summary:,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
Patient-centred Domain levels: 10) Discharge processes,B,B,B,A,A,A,A,A,A,A,A,A,B,B,C,D,C,B,B,B,B,B,B
Patient-centred KI level Patient-centred Total KI level,A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A,A,B,A
Patient-centred KI level Patient-centred Total KI score,88,86,78,90,84,82,82,82.0,86,86,76.0,78.0,78.0,86.0,82.0,80.0,80.0,80.0,84.0,88.0,88.0,78.0,92.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",A,A,B,A,A,A,A,A,A,A,B,B,B,A,A,B,B,B,A,A,A,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,88,86,78,90,84,82,82,82.0,86,86,76.0,74.1,78.0,86.0,82.0,80.0,80.0,76.0,84.0,83.6,88.0,74.1,92.0
Team-centred Domain levels: 1) Scanning,B,C,C,A,B,C,B,B,B,A,B,C,B,A,A,A,B,B,A,A,A,C,A
Team-centred Domain levels: 2) Stroke unit,B,B,C,B,C,C,C,C,C,C,D,E,D,D,D,D,D,D,C,C,C,D,C
Team-centred Domain levels: 3) Thrombolysis,B,B,B,A,B,C,B,B,B,B,C,C,B,C,B,B,B,B,D,B,B,D,A
Team-centred Domain levels: 4) Specialist Assessments,A,B,B,B,B,B,B,B,B,B,C,C,B,B,B,B,B,B,B,B,A,B,A
Team-centred Domain levels: 5) Occupational therapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 6) Physiotherapy,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 7) Speech and Language therapy,A,A,A,A,A,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 8) MDT working,A,B,B,B,B,A,B,B,B,B,B,B,B,B,B,B,B,B,A,A,A,A,A
Team-centred Domain levels: 9) Standards by discharge,B,B,C,C,B,D,D,C,D,B,C,C,A,B,B,A,A,A,C,A,B,A,B
Team-centred Domain levels: 10) Discharge processes,C,D,C,B,B,B,A,B,A,A,A,A,B,B,C,D,D,C,B,A,B,B,B
Team-centred KI level Team-centred Total KI level,A,B,B,A,A,B,A,A,A,A,B,B,A,A,A,A,B,A,A,A,A,B,A
Team-centred KI level Team-centred Total KI score,88,80,78,88,84,78,82,82.0,82,88,76.0,72.0,82.0,82.0,82.0,82.0,80.0,82.0,82.0,92.0,90.0,80.0,92.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",A,B,B,A,A,B,A,A,A,A,B,C,A,A,A,A,B,B,A,A,A,B,A
Team-centred SSNAP level Team-centred SSNAP score,88,80,78,88,84,78,82,82.0,82,88,76.0,68.4,82.0,82.0,82.0,82.0,80.0,77.9,82.0,87.4,90.0,76.0,92.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),2,2,118,366,364,353,363,391,393,400,307,316,348,407,392,395,397,364,344,312,294,288,315
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,0.98,0.93,0.91,0.89,0.88,91%,0.92,0.93,93%,91%,93%,93%,92%,95%,93%,86%,82%,82%,84%,83%,85%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),2,2,53,168,168,161,166,184,192,195,168,162,159,161,141,143,139,181,221,226,199,206,213
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),1,1,0.45,0.46,0.46,0.46,0.46,47%,0.49,0.49,55%,51%,46%,40%,36%,36%,35%,50%,64%,72%,68%,72%,68%
