SSNAP Scoring Summary:,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
Patient-centred Domain levels: 10) Discharge processes,D,C,C,C,E,E,E,E,D,D,Too few to report,D,C,D,D,C,C,D,C,D,Too few to report,E,D,D,D,D,E,D,D
Patient-centred KI level Patient-centred Total KI level,C,C,B,B,B,B,B,B,C,B,TFP,B,A,B,B,A,A,B,A,C,TFP,C,C,C,Not included in scoring,B,B,A,B
Patient-centred KI level Patient-centred Total KI score,60,62.9,77.1,74.3,80,74.3,71.4,80,68.6,74.3,.,80,82.9,77.1,77.1,85.7,82.9,77.1,82.9,60.0,.,62.9,60.0,62.9,.,74.3,80.0,82.9,77.1
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,C,C,B,C,C,B,D,C,TFP,B,D,B,B,A,A,C,B,D,TFP,D,D,D,,B,D,B,C
Patient-centred SSNAP level Patient-centred SSNAP score,45.6,53.4,61.7,63.1,72,63.1,60.7,72,58.3,66.9,.,76,58,77.1,77.1,85.7,82.9,65.6,70.4,57.0,.,56.7,45.9,59.7,.,74.3,57.8,74.6,65.6
Team-centred Domain levels: 2) Stroke unit,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,Too few to report,A,A,A,A
Team-centred Domain levels: 5) Occupational therapy,D,E,D,E,D,C,C,C,C,C,B,B,A,C,B,B,A,A,B,B,C,C,C,C,Too few to report,B,B,A,B
Team-centred Domain levels: 6) Physiotherapy,D,D,C,B,C,C,B,B,B,B,B,B,B,C,B,A,B,B,B,B,D,C,D,D,Too few to report,B,B,A,B
Team-centred Domain levels: 7) Speech and Language therapy,D,C,B,A,D,B,B,B,B,B,C,A,A,B,B,A,B,B,B,C,D,C,C,B,Too few to report,B,B,D,B
Team-centred Domain levels: 9) Standards by discharge,B,A,A,Too few to report,Too few to report,A,B,A,B,B,Too few to report,B,B,B,A,A,B,A,B,B,Too few to report,B,B,B,Too few to report,Too few to report,B,B,B
Team-centred Domain levels: 10) Discharge processes,D,C,C,Too few to report,Too few to report,E,E,E,D,D,Too few to report,D,C,D,D,C,C,C,C,D,Too few to report,E,D,D,Too few to report,Too few to report,E,D,C
Team-centred KI level Team-centred Total KI level,D,C,B,B,C,B,B,B,B,B,TFP,B,A,B,B,A,A,A,B,B,TFP,C,C,C,Too few to report,A,B,B,B
Team-centred KI level Team-centred Total KI score,56.7,63.3,73.3,75,60,70,70,73.3,73.3,73.3,.,80,86.7,70,80.0,90,83.3,86.7,80.0,73.3,.,63.3,63.3,66.7,.,85.0,73.3,76.7,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,C,D,D,D,C,C,C,TFP,B,C,B,B,A,A,B,C,C,TFP,D,D,C,,A,D,C,C
Team-centred SSNAP level Team-centred SSNAP score,43.1,53.8,58.7,63.8,54,59.5,59.5,66,62.3,66,.,76,60.7,70,80.0,90,83.3,73.7,68.0,69.7,.,57.2,48.4,63.3,.,85.0,53.0,69.0,68.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,51,49,40,43,35,26,22,17,26,60,46,40,48,49,57,57,60,55,42,46,38,47,43,53,65,49,40,42
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,1,1,0.7,0.72,0.83,0.76,0.48,0.35,0.52,1,1,1,1,100%,1,1,100%,98%,98%,100%,100%,100%,100%,100%,100%,100%,100%,98%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,4,2,0,0,4,1,10,8,1,0,0,0,0,0,0,0,0,0,0,2,0,2,3,5,2,2,2,1
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0.08,0.04,0,0,0.11,0.04,0.45,0.47,0.04,0,0,0,0,0%,0,0,0%,0%,0%,4%,0%,4%,7%,9%,3%,4%,5%,2%
