SSNAP Scoring Summary:,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
Team-centred Domain levels: 9) Standards by discharge,None entered,None entered,None entered,None entered,None entered,E,E,E,E,A,C,D,B,B,A,B,A,A,A,C,D,A,B,C,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,None entered,None entered,None entered,None entered,None entered,C,D,D,C,C,C,D,C,C,C,C,C,C,C,D,D,C,C,C,C,C,C,C,C
Team-centred KI level Team-centred Total KI level,No records,No records,No records,No records,No records,E,E,E,E,D,D,D,D,C,B,C,B,D,C,C,D,C,C,D,C,B,B,A,B
Team-centred KI level Team-centred Total KI score,.,.,.,.,.,36,36,30,32,52,52,48,58,62.0,72,68,72.0,58.0,66.0,62.0,54.0,60.0,60.0,54.0,64.0,72.0,74.0,86.0,74.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",,,,X,X,E,E,E,E,D,D,D,D,C,B,C,B,D,C,C,D,D,C,D,C,B,B,A,B
Team-centred SSNAP level Team-centred SSNAP score,.,.,.,.,.,27.4,30.6,25.5,27.2,49.4,52,48,58,62.0,72,68,72.0,58.0,62.7,62.0,51.3,57.0,60.0,51.3,60.8,72.0,74.0,86.0,74.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),.,.,.,.,.,.,.,16,65,62,80,89,79,74,103,101,97,77,64,69,74,68,60,75,66,73,77,78,72
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),.,.,.,.,.,.,.,1,1,1,1,0.99,0.96,94%,0.93,0.92,100%,99%,98%,100%,99%,93%,92%,96%,92%,78%,76%,80%,76%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),.,.,.,.,.,.,.,0,0,13,7,5,7,15,65,79,53,44,22,20,19,32,35,39,45,55,52,59,60
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),.,.,.,.,.,.,.,0,0,0.21,0.09,0.06,0.09,20%,0.63,0.78,55%,57%,34%,29%,26%,47%,58%,52%,68%,75%,68%,76%,83%
