SSNAP Scoring Summary:,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2018-04-01,2018-07-01,2018-10-01,2019-01-01,2019-04-01,2019-07-01,2019-10-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred Domain levels: 10) Discharge processes,D,D,E,D,D,C,C,C,C,C,C,D,C,C,A,A,A,A,A,A,A,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,D,D,C,B,B,A,A,B,A,A,B,A,A,B,B,C,D,C,B,C,C,B,B,A,B,A
Patient-centred KI level Patient-centred Total KI score,51.4,57.1,51.4,62.9,80,71.4,85.7,85.7,80,82.9,85.7,80.0,82.9,85.7,77.1,77.1,68.6,57.1,68.6,71.4,65.7,68.6,77.1,71.4,85.7,77.1,85.7
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",D,D,D,D,B,C,B,B,B,A,B,B,A,A,B,C,C,D,C,C,C,C,B,B,A,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,43.7,54.3,44,56.7,72,60.7,72.9,77.4,76,82.9,77.4,80.0,82.9,81.4,73.3,65.6,68.6,54.3,68.6,67.9,65.7,68.6,73.3,71.4,81.4,77.1,81.4
Team-centred Domain levels: 2) Stroke unit,B,B,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,C,B,C,B,C,B
Team-centred Domain levels: 5) Occupational therapy,C,D,D,C,A,A,A,A,A,A,A,A,A,A,B,B,C,C,C,B,C,C,B,C,B,A,A
Team-centred Domain levels: 6) Physiotherapy,D,D,D,D,B,B,A,B,A,B,B,B,B,B,B,B,C,D,C,C,B,D,C,D,C,B,C
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,D,E,D,C,C,C,B,B,C,B,D,E,D,E,E,E,E,E,E,E,C,D,C
Team-centred Domain levels: 9) Standards by discharge,C,C,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A
Team-centred Domain levels: 10) Discharge processes,D,D,E,D,D,C,C,C,C,C,C,D,C,C,A,A,B,A,A,A,A,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,D,D,D,B,B,A,A,A,A,A,A,A,A,A,B,B,C,B,B,B,C,B,C,B,B,A
Team-centred KI level Team-centred Total KI score,50,46.7,53.3,56.7,76.7,73.3,83.3,83.3,86.7,83.3,86.7,83.3,83.3,86.7,83.3,80.0,73.3,63.3,73.3,76.7,76.7,63.3,73.3,63.3,80.0,80.0,83.3
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",D,D,D,D,C,C,B,B,A,A,B,A,A,A,B,C,B,C,B,B,B,C,C,C,B,B,B
Team-centred SSNAP level Team-centred SSNAP score,42.5,44.3,45.6,51.1,69,62.3,70.8,75.2,82.3,83.3,78.2,83.3,83.3,82.3,79.2,68.0,73.3,60.2,73.3,72.8,76.7,63.3,69.7,63.3,76.0,80.0,79.2
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),1,14,40,67,75,71,72,68,87,87,71,80,80,72,69,64,54,42,46,41,38,48,57,77,87,77,70
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),1,1,1,0.99,0.99,1,0.96,1,1,0.99,0.99,100%,1,1,99%,94%,82%,70%,74%,72%,72%,74%,71%,78%,85%,79%,66%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),0,0,3,1,0,3,3,0,0,0,1,1,0,0,3,6,23,32,35,26,28,33,33,46,45,28,38
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),0,0,0.08,0.01,0,0.04,0.04,0,0,0,0.01,1%,0,0,4%,9%,43%,76%,76%,63%,74%,69%,58%,60%,52%,36%,54%
