0,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01,2024-01-01,2024-04-01,2024-07-01
Patient-centred Domain levels: 5) Occupational therapy,D,C,A,A,B,A,A,A,A,C,E,E,E,C,C,B,B,B,A,A,B,A,B
Patient-centred Domain levels: 6) Physiotherapy,D,B,A,B,B,B,B,B,B,C,E,D,E,D,B,B,B,B,B,B,B,B,B
Patient-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,C,D,D,E,D,C,E,E,E,E,D,D,D,C,C,C,D,C,C
Patient-centred Domain levels: 8) MDT working,E,D,D,C,D,C,C,C,C,C,B,B,C,C,C,B,C,B,B,B,B,B,B
Patient-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,A,A,A,A,A,B,C,B,A,B,A,A,A,A,A,B,A,A
Patient-centred Domain levels: 10) Discharge processes,A,D,C,B,B,C,B,A,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A
Patient-centred KI level Patient-centred Total KI level,D,C,C,B,B,B,B,B,B,C,D,D,D,D,C,B,B,B,B,A,B,B,A
Patient-centred KI level Patient-centred Total KI score,44,60,64,76,74,70,76,74,74,68,50.0,48.0,50.0,58.0,66.0,72.0,70.0,78.0,76.0,82.0,70.0,76.0,82.0
"Patient-centred SSNAP level Patient-centred SSNAP level 
(after adjustments)",E,D,D,C,C,C,B,B,B,C,D,D,D,D,C,B,B,B,B,A,B,B,A
Patient-centred SSNAP level Patient-centred SSNAP score,29.9,48.4,57.6,68.4,66.8,66.5,72.2,70.3,74,68,47.5,48.0,50.0,55.1,66.0,72.0,70.0,74.1,76.0,82.0,70.0,76.0,82.0
Team-centred Domain levels: 1) Scanning,D,C,C,B,C,C,B,B,C,C,B,B,C,C,B,B,A,A,B,A,B,B,A
Team-centred Domain levels: 2) Stroke unit,E,C,C,C,D,D,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,D
Team-centred Domain levels: 3) Thrombolysis,D,C,D,A,A,B,B,C,B,C,D,E,E,D,D,D,E,C,D,C,E,D,C
Team-centred Domain levels: 4) Specialist Assessments,D,A,B,A,A,B,A,A,B,A,C,C,B,B,A,A,A,A,A,A,A,B,A
Team-centred Domain levels: 5) Occupational therapy,D,C,A,A,B,A,A,A,A,C,E,E,E,C,C,C,B,B,A,A,B,A,B
Team-centred Domain levels: 6) Physiotherapy,D,B,A,B,B,B,B,B,B,C,E,E,E,D,B,B,B,B,B,B,C,B,B
Team-centred Domain levels: 7) Speech and Language therapy,E,E,E,E,C,D,D,E,D,C,E,E,E,E,E,D,E,C,C,C,E,C,C
Team-centred Domain levels: 8) MDT working,E,D,C,C,D,C,C,B,C,C,B,B,C,C,C,B,B,B,B,B,B,B,B
Team-centred Domain levels: 9) Standards by discharge,B,B,B,B,A,A,A,A,A,A,B,C,B,A,B,A,A,A,A,A,B,A,A
Team-centred Domain levels: 10) Discharge processes,A,D,C,B,B,C,B,A,A,A,B,B,A,A,B,A,B,A,A,A,A,A,A
Team-centred KI level Team-centred Total KI level,D,C,C,B,B,B,B,B,B,C,D,D,D,D,C,B,C,B,B,B,C,B,B
Team-centred KI level Team-centred Total KI score,44,60,66,76,74,70,76,76,74,68,50.0,46.0,48.0,58.0,62.0,70.0,68.0,78.0,76.0,80.0,64.0,74.0,80.0
"Team-centred SSNAP level Team-centred SSNAP level 
(after adjustments)",E,D,D,C,C,C,B,B,B,C,D,D,D,D,C,B,C,B,B,B,C,B,B
Team-centred SSNAP level Team-centred SSNAP score,29.9,48.4,59.4,68.4,66.8,66.5,72.2,72.2,74,68,47.5,46.0,48.0,55.1,62.0,70.0,68.0,74.1,76.0,80.0,64.0,74.0,80.0
Applicability to be assessed at 6m: Number of patients considered applicable to be assessed at 6 months - (ref B12.1),,172,172,145,146,203,220,205,218,176,100,89,104,100,83,75,92,103,108,97,75,76,65
Applicability to be assessed at 6m: Proportion of patients alive who are considered applicable to be assessed at 6 months - (ref B12.3),,0.96,1,0.99,0.98,0.99,1,1,1,0.94,76%,64%,65%,65%,59%,61%,69%,73%,72%,62%,58%,53%,44%
Patients assessed at 6m: Number of applicable patients assessed - (ref B13.1),,0,1,24,34,53,63,40,34,33,60,56,64,57,48,41,48,54,70,68,54,62,50
Patients assessed at 6m: Proportion of applicable patients assessed - (ref B13.3),,0,0.01,0.17,0.23,0.26,0.29,0.2,0.16,0.19,60%,63%,62%,57%,58%,55%,52%,52%,65%,70%,72%,82%,77%
